"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
106776319,"2025-10-01 18:45:00","v1000m/1:40r...6 row",17:56.4,1076.4,5:49.0,349,3500,66,24,441,2:33.7,96,631,185,140,105,49,Hwt,RowErg,No,,"2025-10-02 01:45:27"
106693809,"2025-09-29 19:18:00","14:53 row",14:53.4,893.4,,,3015,,25,379,2:28.1,108,670,165,142,70,49,Hwt,RowErg,No,,"2025-09-30 02:18:28"
106693452,"2025-09-29 18:53:00","v1000m/0:55r...6 row",16:22.1,982.1,5:35.0,335,3500,81,27,450,2:20.3,127,736,199,164,105,49,Hwt,RowErg,No,,"2025-09-30 01:54:03"
106652034,"2025-09-28 19:06:00","v0:30/0:01r...17 row",14:45.0,885,4:43.0,283,3094,104,27,404,2:23.0,120,711,168,151,101,49,Hwt,RowErg,No,,"2025-09-29 02:07:22"
106651881,"2025-09-28 18:44:00","v1000m/1:07r...6 row",16:52.9,1012.9,6:08.0,368,3500,84,26,454,2:24.7,116,697,194,150,102,49,Hwt,RowErg,No,,"2025-09-29 01:45:25"
106622210,"2025-09-27 14:55:00","v1000m/1:02r...1 row",4:36.5,276.5,1:02.0,62,1000,17,27,126,2:18.2,132,755,58,137,105,49,Hwt,RowErg,No,,"2025-09-27 21:56:27"
106622090,"2025-09-27 14:48:00","16:01 row",16:01.5,961.5,,,3249,,26,415,2:27.9,108,671,178,158,105,49,Hwt,RowErg,No,,"2025-09-27 21:48:29"
106597390,"2025-09-26 18:41:00","v0:30/0:01r...13 row",22:51.5,1371.5,8:18.0,498,4709,75,27,624,2:25.6,113,690,256,146,106,49,Hwt,RowErg,No,,"2025-09-27 01:42:01"
106597034,"2025-09-26 18:06:00","v1000m/1:14r...6 row",16:57.0,1017,5:05.0,305,3500,92,26,459,2:25.2,114,692,192,152,106,49,Hwt,RowErg,No,,"2025-09-27 01:07:19"
106564587,"2025-09-25 19:32:00","20:00 row",20:00.0,1200,,,3616,,24,490,2:45.9,77,563,188,144,105,49,Hwt,RowErg,No,,"2025-09-26 02:33:10"
106564311,"2025-09-25 19:08:00","v1000m/1:13r...6 row",17:12.2,1032.2,5:41.0,341,3500,77,26,463,2:27.4,109,675,191,150,105,49,Hwt,RowErg,No,,"2025-09-26 02:09:09"
106430320,"2025-09-22 10:50:00","v1000m/1:19r...2 row",7:22.9,442.9,1:31.0,91,1500,23,27,199,2:27.6,109,674,82,164,96,49,Hwt,RowErg,No,,"2025-09-22 17:51:32"
106429739,"2025-09-22 10:39:00","v0:30/0:01r...15 row",27:10.2,1630.2,9:36.0,576,5538,172,27,742,2:27.1,110,677,299,135,104,49,Hwt,RowErg,No,,"2025-09-22 17:40:27"
106373971,"2025-09-20 19:08:00","v1000m/2:34r...2 row",40:27.0,2427,3:34.0,214,7000,32,22,921,2:53.3,67,531,371,141,103,49,Hwt,RowErg,No,,"2025-09-21 02:08:59"
106313090,"2025-09-18 19:41:00","v1000m/1:02r...6 row",18:05.4,1085.4,4:27.0,267,3500,75,26,475,2:35.0,94,623,186,149,91,49,Hwt,RowErg,No,,"2025-09-19 02:42:39"
106312817,"2025-09-18 19:16:00","v0:30/0:01r...17 row",35:06.6,2106.6,13:08.0,788,6990,233,26,943,2:30.6,102,652,372,142,91,49,Hwt,RowErg,No,,"2025-09-19 02:17:22"
106276067,"2025-09-17 19:44:00","v600m/0:56r...9 row",25:15.4,1515.4,6:19.0,379,4913,91,25,655,2:34.2,95,628,262,150,103,49,Hwt,RowErg,No,,"2025-09-18 02:45:23"
106275704,"2025-09-17 19:09:00","v600m/1:00r...2 row",5:06.3,306.3,1:00.0,60,984,16,26,132,2:35.6,93,619,52,149,103,49,Hwt,RowErg,No,,"2025-09-18 02:09:58"
106275335,"2025-09-17 18:59:00","9x0:30/r row",4:30.0,270,,,875,,26,116,2:34.2,95,627,42,146,102,49,Hwt,RowErg,No,,"2025-09-18 01:59:59"
106275201,"2025-09-17 18:51:00","3x500m/r row",7:34.2,454.2,,,1500,,25,193,2:31.4,101,647,81,153,103,49,Hwt,RowErg,No,,"2025-09-18 01:51:51"
106275043,"2025-09-17 18:40:00","9:51 row",9:51.7,591.7,,,2018,,26,259,2:26.6,111,682,111,151,103,49,Hwt,RowErg,No,,"2025-09-18 01:41:21"
106235852,"2025-09-16 19:37:00","31:11 row",31:11.5,1871.5,,,6017,,24,784,2:35.5,93,620,320,145,104,49,Hwt,RowErg,No,,"2025-09-17 02:38:20"
106195218,"2025-09-15 19:52:51","v1000m/1:22r...16 row",1:04:37.5,3877.5,17:49.0,1069,12698,318,26,1691,2:32.6,98,638,683,152,91,49,Hwt,RowErg,No,,"2025-09-16 02:52:54"
106126424,"2025-09-13 19:28:00","29:10 row",29:10.9,1750.9,,,5750,,26,756,2:32.2,99,641,310,162,103,49,Hwt,RowErg,No,,"2025-09-14 02:29:21"
106126161,"2025-09-13 18:55:00","10:00 row",10:00.0,600,,,1996,,26,260,2:30.3,103,654,107,151,103,49,Hwt,RowErg,No,,"2025-09-14 01:56:22"
106126065,"2025-09-13 18:43:00","v500m/0:48r...6 row",14:50.9,890.9,5:02.0,302,3000,102,26,400,2:28.4,107,667,162,145,103,49,Hwt,RowErg,No,,"2025-09-14 01:44:32"
106099523,"2025-09-12 19:52:04","v1000m/1:47r...3 row",58:00.3,3480.3,4:44.0,284,10016,37,22,1316,2:53.7,67,529,531,150,99,49,Hwt,RowErg,No,,"2025-09-13 02:52:07"
106031485,"2025-09-10 19:28:00","v1500m/2:02r...5 row",33:28.7,2008.7,7:56.0,476,6513,59,25,867,2:34.2,95,628,348,152,107,49,Hwt,RowErg,No,,"2025-09-11 02:29:31"
105994435,"2025-09-09 19:44:14","v1000m/1:41r...14 row",42:33.6,2553.6,15:43.0,943,8496,521,27,1163,2:30.2,103,654,459,160,89,49,Hwt,RowErg,No,,"2025-09-10 02:44:18"
105955880,"2025-09-08 19:43:00","v1500m/1:43r...6 row",45:39.9,2739.9,10:58.0,658,9000,87,26,1196,2:32.2,99,641,487,161,91,49,Hwt,RowErg,No,,"2025-09-09 02:44:44"
105917147,"2025-09-07 19:19:08","v1000m/0:57r...14 row",34:12.1,2052.1,12:31.0,751,6829,405,25,885,2:30.2,103,655,368,151,96,49,Hwt,RowErg,No,,"2025-09-08 02:19:11"
105877998,"2025-09-06 08:40:29","v3:00/r...20 row",40:00.0,2400,9:06.0,546,7569,149,24,986,2:38.5,88,602,399,152,100,49,Hwt,RowErg,No,,"2025-09-06 15:40:32"
105828810,"2025-09-04 19:27:22","v5:00/1:03r...11 row",35:00.0,2100,12:11.0,731,7024,170,26,923,2:29.4,105,660,381,,103,49,Hwt,RowErg,No,,"2025-09-05 02:27:25"
105792560,"2025-09-03 20:52:41","v1000m/1:42r...10 row",36:34.4,2194.4,15:08.0,908,7553,175,26,986,2:25.2,114,692,417,156,104,49,Hwt,RowErg,No,,"2025-09-04 03:52:45"
105673843,"2025-08-31 19:29:44","v5:00/1:35r...7 row",35:00.0,2100,11:04.0,664,6839,107,25,896,2:33.5,97,632,369,150,91,49,Hwt,RowErg,No,,"2025-09-01 03:00:05"
105620243,"2025-08-29 19:15:32","v1000m/1:34r...6 row",44:46.8,2686.8,9:00.0,540,8490,114,25,1128,2:38.2,88,604,459,158,97,49,Hwt,RowErg,No,,"2025-08-30 02:15:41"
105551671,"2025-08-27 19:43:33","v5:00/1:39r...10 row",50:00.0,3000,17:36.0,1056,9623,161,25,1270,2:35.8,92,618,510,147,99,49,Hwt,RowErg,No,,"2025-08-28 02:43:36"
105512766,"2025-08-26 19:34:58","v1000m/1:09r...15 row",51:24.8,3084.8,14:36.0,876,9960,245,25,1325,2:34.8,94,624,530,150,97,49,Hwt,RowErg,No,,"2025-08-27 02:35:02"
105473767,"2025-08-25 19:19:05","v6:00/1:53r...3 row",18:00.0,1080,4:34.0,274,3539,45,25,469,2:32.5,99,639,190,148,93,49,Hwt,RowErg,No,,"2025-08-26 02:19:08"
105435310,"2025-08-24 19:09:30","v2:00/0:27r...16 row",48:55.1,2935.1,16:00.0,960,9729,278,27,1338,2:30.8,102,650,524,156,93,49,Hwt,RowErg,No,,"2025-08-25 02:09:33"
105421773,"2025-08-24 08:24:54","v5:00/1:11r...9 row",45:00.0,2700,17:58.0,1078,8639,136,25,1152,2:36.2,92,615,457,141,91,49,Hwt,RowErg,No,,"2025-08-24 15:24:58"
105380458,"2025-08-22 20:29:21","v1000m/2:11r...15 row",1:03:01.1,3781.1,21:53.0,1313,12183,245,26,1641,2:35.1,94,622,648,148,96,49,Hwt,RowErg,No,,"2025-08-23 03:29:26"
105348028,"2025-08-21 19:50:36","v1000m/1:52r...9 row",57:38.7,3458.7,11:42.0,702,10567,153,25,1456,2:43.6,80,574,558,145,92,49,Hwt,RowErg,No,,"2025-08-22 02:50:40"
105313197,"2025-08-20 19:37:00","5:05 row",5:05.7,305.7,,,1007,,24,126,2:31.7,100,644,54,150,51,49,Hwt,RowErg,No,,"2025-08-21 02:37:25"
105313092,"2025-08-20 19:29:32","v1000m/2:01r...5 row",31:02.8,1862.8,6:32.0,392,6190,92,26,810,2:30.4,103,653,336,154,102,49,Hwt,RowErg,No,,"2025-08-21 02:29:34"
105274393,"2025-08-19 19:55:33","v1000m/1:13r...12 row",53:19.3,3199.3,12:15.0,735,10007,155,24,1318,2:39.8,86,594,536,148,95,49,Hwt,RowErg,No,,"2025-08-20 02:55:36"
105233724,"2025-08-18 19:47:04","v1000m/1:35r...8 row",1:04:18.3,3858.3,11:55.0,715,12000,139,24,1587,2:40.7,84,589,629,,94,49,Hwt,RowErg,No,,"2025-08-19 02:47:08"
105166252,"2025-08-16 19:55:35","v1000m/1:51r...17 row",1:07:36.7,4056.7,18:42.0,1122,13150,279,26,1774,2:34.2,95,628,702,146,98,49,Hwt,RowErg,No,,"2025-08-17 02:55:39"
105139029,"2025-08-15 19:51:58","v8:00/2:00r...6 row",48:00.0,2880,11:00.0,660,8905,108,25,1208,2:41.7,83,584,465,134,90,49,Hwt,RowErg,No,,"2025-08-16 02:52:01"
105108760,"2025-08-14 19:36:00","v1000m/0:54r...22 row",32:57.0,1977,11:01.0,661,6653,233,26,886,2:28.5,107,667,356,134,101,49,Hwt,RowErg,No,,"2025-08-15 02:36:04"
105076556,"2025-08-13 19:09:38","v8:00/1:55r...4 row",29:00.9,1740.9,7:12.0,432,5708,69,26,767,2:32.4,99,639,308,159,85,49,Hwt,RowErg,No,,"2025-08-14 02:09:41"
105041422,"2025-08-12 19:16:09","v1000m/1:12r...6 row",34:53.4,2093.4,8:17.0,497,6660,115,24,864,2:37.1,90,610,355,148,102,49,Hwt,RowErg,No,,"2025-08-13 02:16:12"
105004421,"2025-08-11 19:59:05","v9:00/1:17r...5 row",45:00.0,2700,7:06.0,426,8528,70,24,1111,2:38.3,88,603,450,138,99,49,Hwt,RowErg,No,,"2025-08-12 02:59:08"
104966497,"2025-08-10 19:30:07","v1000m/r...14 row",52:33.5,3153.5,13:11.0,791,10188,221,25,1356,2:34.7,94,624,547,144,98,49,Hwt,RowErg,No,,"2025-08-11 02:30:12"
104914664,"2025-08-08 19:35:48","v5:00/1:07r...9 row",45:00.0,2700,11:34.0,694,8824,188,25,1139,2:32.9,98,636,473,154,102,49,Hwt,RowErg,No,,"2025-08-09 02:35:52"
104883593,"2025-08-07 19:24:23","v1000m/r...9 row",50:53.7,3053.7,8:43.0,523,10000,149,24,1236,2:32.6,98,638,540,151,106,49,Hwt,RowErg,No,,"2025-08-08 02:24:26"
104850692,"2025-08-06 19:06:29","6x5:00/1:00r row",30:00.0,1800,6:00.0,360,5885,124,24,742,2:32.9,98,636,319,161,100,49,Hwt,RowErg,No,,"2025-08-07 02:06:32"
104815920,"2025-08-05 19:39:00","41:11 row",41:11.5,2471.5,,,7816,,24,997,2:38.1,89,604,413,148,98,49,Hwt,RowErg,No,,"2025-08-06 02:40:52"
104815238,"2025-08-05 18:47:12","v1000m/r...3 row",10:10.2,610.2,2:02.0,122,2000,33,24,255,2:32.5,99,639,106,,97,49,Hwt,RowErg,No,,"2025-08-06 01:47:15"
104793478,"2025-08-05 07:20:26","v10:00/1:58r...3 row",30:00.0,1800,5:41.0,341,5925,44,24,729,2:31.8,100,643,320,160,96,49,Hwt,RowErg,No,,"2025-08-05 14:20:29"
104738067,"2025-08-03 19:52:35","v1000m/0:41r...12 row",47:37.1,2857.1,11:36.0,696,9464,444,25,1229,2:30.9,102,650,512,150,101,49,Hwt,RowErg,No,,"2025-08-04 02:52:38"
104711326,"2025-08-02 19:27:10","v1000m/r...31 row",30:27.4,1827.4,6:41.0,401,6002,435,26,805,2:32.2,99,641,317,152,91,49,Hwt,RowErg,No,,"2025-08-03 02:27:13"
104684408,"2025-08-01 20:59:48","v1000m/r...8 row",35:33.3,2133.3,10:00.0,600,7085,127,24,875,2:30.5,103,653,389,154,100,49,Hwt,RowErg,No,,"2025-08-02 03:59:51"
104652450,"2025-07-31 19:08:00","v10:00/2:34r...4 row",34:53.3,2093.3,8:50.0,530,7141,63,25,882,2:26.5,111,682,395,164,99,49,Hwt,RowErg,No,,"2025-08-01 02:08:03"
104583417,"2025-07-29 19:21:01","v20:00/3:52r...3 row",44:59.4,2699.4,6:46.0,406,8803,50,25,1128,2:33.3,97,634,478,167,93,49,Hwt,RowErg,No,,"2025-07-30 02:21:04"
104548152,"2025-07-28 20:14:12","v1000m/r...10 row",51:11.8,3071.8,11:00.0,660,10000,105,24,1241,2:33.5,97,632,540,154,111,49,Hwt,RowErg,No,,"2025-07-29 03:14:15"
104485882,"2025-07-26 19:29:32","v1000m/r...18 row",44:54.4,2694.4,12:00.0,720,8559,164,23,1070,2:37.4,90,608,451,143,109,49,Hwt,RowErg,No,,"2025-07-27 02:29:36"
104461313,"2025-07-25 19:38:00","11:05 row",11:05.8,665.8,,,2016,,23,256,2:45.1,78,567,104,149,117,49,Hwt,RowErg,No,,"2025-07-26 02:38:54"
104461177,"2025-07-25 19:24:22","v6:00/1:28r...5 row",30:00.0,1800,6:29.0,389,6067,101,26,769,2:28.3,107,668,332,156,115,49,Hwt,RowErg,No,,"2025-07-26 02:24:25"
104432912,"2025-07-24 19:52:45","v1000m/r...9 row",43:34.7,2614.7,9:00.0,540,8500,176,23,1041,2:33.8,96,631,457,146,116,49,Hwt,RowErg,No,,"2025-07-25 02:52:48"
104401462,"2025-07-23 19:34:44","3x12:00/2:00r row",36:00.0,2160,6:00.0,360,7090,77,23,846,2:32.3,99,640,383,157,105,49,Hwt,RowErg,No,,"2025-07-24 02:34:48"
104368185,"2025-07-22 19:47:49","v1000m/r...12 row",48:08.4,2888.4,7:00.0,420,9470,234,23,1113,2:32.5,99,639,514,154,117,49,Hwt,RowErg,No,,"2025-07-23 02:47:52"
104333927,"2025-07-21 19:41:06","8:10 row",8:10.6,490.6,,,1671,,23,194,2:26.7,111,680,92,153,141,49,Hwt,RowErg,No,"Active Recovery: 20:00 @ 22-24 SPM
Light pressure. Breathe. Focus on rhythm. HR in Zone 2.
https://app.erg.zone","2025-07-22 02:41:09"
