date,c2_workouts,c2_distance_m,c2_work_time_s,c2_avg_watts,c2_avg_hr,c2_total_cal,whoop_workouts,whoop_duration_min,whoop_activity_strain,whoop_energy_cal,whoop_avg_hr,whoop_max_hr,whoop_recovery_pct,whoop_rhr_bpm,whoop_hrv_ms,whoop_skin_temp_c,whoop_blood_oxygen_pct,whoop_day_strain,whoop_day_energy_cal,whoop_sleep_performance_pct,whoop_sleep_efficiency_pct,whoop_asleep_min,whoop_in_bed_min,whoop_light_sleep_min,whoop_deep_sleep_min,whoop_rem_sleep_min,whoop_awake_min,whoop_sleep_need_min,whoop_sleep_debt_min,apple_Body temperature(degF),apple_Event: High heart rate,apple_Event: Irregular heart rhythm,apple_Event: Low heart rate,apple_Heart rate(count/min),apple_Heart rate variability (SDNN)(ms),apple_Respiratory Rate(count/min),apple_Resting heart rate(count/min),apple_State of Mind(Valence),apple_Time REM(hr),apple_Time asleep(hr),apple_Time awake(hr),apple_Time core(hr),apple_Time deep(hr),apple_Time in bed(hr),apple_Time in daylight(min),apple_VO2 Max(mL/min·kg),apple_Walking asymmetry percentage(%),apple_Walking double support percentage(%),apple_Walking heart rate average(count/min),apple_Walking speed(mi/hr),apple_Walking steadiness(%),apple_Walking steadiness notification,apple_Walking step length(in),apple_Wrist temperature(degF)
2021-07-04,,,,,,,,,,,,,98.0,42.0,66.0,,,13.7,2386.0,100.0,94.0,477.0,544.0,273.0,112.0,92.0,67.0,473.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-05,,,,,,,1.0,50.0,12.5,534.0,133.0,155.0,90.0,43.0,61.0,,,16.2,2521.0,97.0,84.0,478.0,507.0,293.0,106.0,79.0,29.0,450.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-06,,,,,,,2.0,48.0,19.8,610.0,132.0,183.0,73.0,45.0,54.0,,,15.8,2703.0,100.0,84.0,465.0,549.0,271.0,100.0,94.0,84.0,477.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07,,,,,,,1.0,45.0,15.2,647.0,153.0,185.0,,,,,,,,,,502.0,611.0,320.0,92.0,90.0,109.0,502.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08,,,,,,,1.0,43.0,14.9,635.0,155.0,179.0,84.0,44.5,65.5,,,15.35,2322.5,95.5,93.5,447.0,476.0,353.0,67.0,27.0,29.0,490.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-09,,,,,,,1.0,45.0,15.5,625.0,150.0,186.0,74.0,45.0,60.0,,,15.3,2354.0,100.0,87.0,548.0,594.0,328.0,103.0,117.0,46.0,506.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-10,,,,,,,2.0,40.0,18.8,571.0,149.5,180.0,76.0,51.0,64.0,,,4.0,1728.0,100.0,98.0,486.0,566.0,306.0,100.0,80.0,80.0,488.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-11,,,,,,,,,,,,,50.0,49.0,51.0,,,5.9,1807.0,100.0,94.0,488.0,505.0,276.0,92.0,120.0,17.0,487.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-12,,,,,,,,,,,,,24.0,54.0,41.0,,,4.2,1749.0,100.0,81.0,562.0,594.0,395.0,103.0,64.0,32.0,450.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-13,,,,,,,,,,,,,56.0,43.0,50.0,,,12.4,2484.0,100.0,92.0,468.0,578.0,288.0,161.0,19.0,110.0,452.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-14,,,,,,,1.0,54.0,12.1,574.0,134.0,141.0,67.0,44.0,56.0,,,10.4,2055.0,85.0,91.0,503.0,551.0,405.0,85.0,13.0,48.0,451.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-15,,,,,,,1.0,42.0,10.3,421.0,132.0,150.0,32.0,47.0,40.0,,,8.3,1906.0,69.0,96.0,399.0,443.0,217.0,75.0,107.0,44.0,470.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-16,,,,,,,,,,,,,,,,,,,,,,343.0,360.0,233.0,99.0,11.0,17.0,495.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-17,,,,,,,,,,,,,53.0,46.0,46.0,,,1.0,1725.0,85.0,95.0,445.0,468.0,369.0,66.0,10.0,23.0,525.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18,,,,,,,,,,,,,73.5,46.5,56.5,,,10.149999999999999,2141.5,71.5,95.5,275.0,297.0,188.0,68.0,19.0,22.0,483.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,,,,,,,1.0,51.0,16.0,751.0,156.0,182.0,66.0,44.0,53.0,,,16.4,2354.0,82.0,93.0,469.0,484.0,374.0,56.0,39.0,15.0,547.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,,,,,,,1.0,51.0,16.3,772.0,158.0,180.0,68.0,44.0,52.0,,,4.0,1795.0,95.0,88.0,428.0,461.0,314.0,96.0,18.0,33.0,525.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-21,,,,,,,,,,,,,55.0,44.0,48.0,,,15.6,2468.0,100.0,92.0,511.0,596.0,364.0,111.0,36.0,85.0,535.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,,,,,,,1.0,46.0,15.5,640.0,151.0,186.0,83.0,44.0,60.0,,,13.9,2171.0,84.0,95.0,532.0,585.0,347.0,125.0,60.0,53.0,465.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-23,,,,,,,1.0,42.0,13.8,549.0,146.0,181.0,60.0,44.0,51.0,,,15.8,2542.0,100.0,91.0,412.0,441.0,263.0,82.0,67.0,29.0,489.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-24,,,,,,,1.0,37.0,15.2,596.0,160.0,178.0,52.0,46.0,49.0,,,4.9,1682.0,83.0,96.0,543.0,596.0,343.0,124.0,76.0,53.0,514.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-25,,,,,,,1.0,40.0,4.6,86.0,89.0,140.0,61.0,48.0,51.0,,,12.8,2342.0,100.0,90.0,407.0,434.0,306.0,79.0,22.0,27.0,491.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-26,,,,,,,1.0,30.0,12.6,415.0,149.0,179.0,,,,,,,,,,525.0,585.0,240.0,129.0,156.0,60.0,489.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-27,,,,,,,2.0,99.0,18.1,791.0,112.5,160.0,43.0,49.0,47.0,,,13.5,2428.0,74.0,89.0,351.0,391.0,238.0,63.0,50.0,40.0,471.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-28,,,,,,,,,,,,,79.0,44.0,56.0,,,8.45,2046.0,87.5,92.0,408.0,432.0,233.0,78.0,97.0,24.0,534.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,,,,,,,1.0,40.0,15.3,624.0,158.0,178.0,84.0,43.0,57.0,,,13.0,2148.0,86.0,92.0,496.0,554.0,299.0,115.0,82.0,58.0,503.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,,,,,,,1.0,30.0,12.7,406.0,148.0,182.0,79.0,47.0,56.0,,,15.7,2437.0,96.0,93.0,420.0,461.0,276.0,87.0,57.0,41.0,491.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,1.0,37.0,15.1,578.0,159.0,180.0,83.0,42.0,58.0,,,11.0,2201.0,93.0,97.0,484.0,523.0,301.0,117.0,66.0,39.0,504.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,,,,,,,1.0,44.0,10.7,442.0,131.0,142.0,73.0,42.0,57.0,,,4.0,1667.0,90.0,90.0,468.0,494.0,282.0,125.0,61.0,26.0,501.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-02,,,,,,,,,,,,,65.0,42.0,56.0,,,17.4,2583.0,100.0,92.0,435.0,493.0,226.0,115.0,94.0,58.0,484.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-03,,,,,,,1.0,58.0,17.3,906.0,160.0,182.0,91.0,43.0,62.0,,,14.7,2400.0,89.0,92.0,483.0,535.0,260.0,130.0,93.0,52.0,479.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04,,,,,,,1.0,33.0,14.5,517.0,160.0,182.0,,,,,,,,,,447.0,493.0,261.0,93.0,93.0,46.0,502.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,,,,,,,1.0,31.0,13.7,461.0,154.0,182.0,65.5,45.0,54.0,,,14.25,2112.0,80.5,94.0,434.0,447.0,274.0,68.0,92.0,13.0,507.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,,,,,,,1.0,35.0,14.5,531.0,157.0,185.0,65.0,42.0,54.0,,,16.2,2574.0,100.0,92.0,390.0,434.0,278.0,60.0,52.0,44.0,511.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,,,,,,,1.0,60.0,16.1,859.0,153.0,174.0,34.0,51.0,40.0,,,,581.0,82.0,86.0,566.0,612.0,285.0,131.0,150.0,46.0,536.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-08,,,,,,,,,,,,,,,,,,,4.0,,,407.0,470.0,256.0,70.0,81.0,63.0,493.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-09,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-10,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-11,,,,,,,,,,,,,,,,,,11.4,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,,,,,,,1.0,30.0,11.0,354.0,139.0,165.0,71.0,42.0,51.0,,,4.0,1596.0,82.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-13,,,,,,,,,,,,,68.0,42.0,48.0,,,17.5,2690.0,100.0,94.0,415.0,449.0,253.0,127.0,35.0,34.0,505.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-14,,,,,,,1.0,62.0,17.3,954.0,157.0,182.0,92.0,42.0,59.0,,,19.1,3361.0,100.0,89.0,506.0,543.0,337.0,107.0,62.0,37.0,491.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-15,,,,,,,1.0,91.0,18.5,1336.0,154.0,188.0,71.0,47.0,51.0,,,4.2,1640.0,84.0,88.0,589.0,656.0,403.0,128.0,58.0,67.0,502.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-16,,,,,,,,,,,,,72.0,41.0,50.0,,,5.5,1803.0,100.0,83.0,431.0,490.0,279.0,56.0,96.0,59.0,514.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,,,,,,,,,,,,,56.0,42.0,48.0,,,16.0,2625.0,100.0,94.0,498.0,595.0,324.0,116.0,58.0,97.0,486.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,,,,,,,1.0,45.0,15.8,698.0,158.0,178.0,89.0,43.0,58.0,,,15.2,2254.0,92.0,95.0,547.0,589.0,315.0,114.0,118.0,42.0,452.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-19,,,,,,,1.0,38.0,15.0,585.0,159.0,177.0,74.0,43.0,53.0,,,3.8,1723.0,100.0,94.0,454.0,474.0,301.0,124.0,29.0,20.0,492.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-20,,,,,,,,,,,,,79.0,41.0,53.0,,,3.7,1835.0,100.0,93.0,528.0,555.0,286.0,133.0,109.0,27.0,504.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21,,,,,,,,,,,,,47.0,43.0,47.0,,,20.5,3535.0,76.0,90.0,621.0,666.0,421.0,110.0,90.0,45.0,450.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-22,,,,,,,1.0,120.0,20.3,1842.0,158.0,186.0,60.0,42.0,49.0,,,3.0,1793.0,86.0,91.0,343.0,381.0,184.0,113.0,46.0,38.0,450.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-23,,,,,,,,,,,,,26.0,47.0,42.0,,,4.2,1722.0,95.0,88.0,495.0,543.0,319.0,137.0,39.0,48.0,576.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24,,,,,,,,,,,,,78.0,41.0,52.0,,,14.4,2291.0,100.0,88.0,457.0,515.0,301.0,106.0,50.0,58.0,481.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,,,,,,,1.0,36.0,14.2,544.0,154.0,172.0,82.0,43.0,55.0,,,13.2,2241.0,99.0,95.0,495.0,572.0,252.0,133.0,110.0,77.0,465.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-26,,,,,,,1.0,43.0,13.0,450.0,128.0,175.0,59.0,43.0,49.0,,,16.0,2436.0,92.0,87.0,475.0,505.0,319.0,102.0,54.0,30.0,480.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-27,,,,,,,1.0,58.0,15.7,818.0,151.0,173.0,81.0,43.0,53.0,,,15.8,2668.0,100.0,88.0,439.0,503.0,276.0,100.0,63.0,64.0,476.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-28,,,,,,,1.0,50.0,15.7,734.0,154.0,172.0,,,,,,,,,,567.0,668.0,404.0,89.0,74.0,101.0,509.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-29,,,,,,,1.0,51.0,16.9,811.0,160.0,183.0,91.0,43.5,65.5,,,10.55,2048.5,86.0,89.5,417.0,452.0,259.0,70.0,88.0,35.0,490.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-30,,,,,,,,,,,,,53.0,45.0,47.0,,,4.0,1783.0,100.0,89.0,466.0,546.0,262.0,92.0,112.0,80.0,533.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,70.0,40.0,53.0,,,15.2,2609.0,100.0,93.0,543.0,612.0,298.0,160.0,85.0,69.0,479.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,,,,,,,1.0,46.0,15.2,675.0,154.0,173.0,,,,,,,,,,532.0,582.0,372.0,94.0,66.0,50.0,450.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-02,,,,,,,1.0,44.0,12.4,496.0,135.0,163.0,46.5,44.0,45.5,,,14.5,2237.0,76.5,92.5,319.0,350.0,149.0,76.0,94.0,31.0,486.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-03,,,,,,,1.0,45.0,16.2,723.0,160.0,179.0,54.0,44.0,46.0,,,18.3,2908.0,100.0,89.0,477.0,505.0,294.0,93.0,90.0,28.0,546.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-04,,,,,,,1.0,68.0,18.1,1067.0,159.0,186.0,65.0,43.0,49.0,,,14.4,2152.0,88.0,95.0,528.0,591.0,298.0,155.0,75.0,63.0,525.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-05,,,,,,,1.0,26.0,14.1,429.0,163.0,181.0,79.0,44.0,54.0,,,16.5,2724.0,87.0,92.0,446.0,468.0,289.0,99.0,58.0,22.0,508.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-06,,,,,,,1.0,75.0,16.2,997.0,148.0,167.0,44.0,45.0,43.0,,,13.3,2119.0,73.0,96.0,440.0,476.0,285.0,98.0,57.0,36.0,508.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07,,,,,,,1.0,32.0,13.2,458.0,151.0,174.0,57.0,41.0,47.0,,,15.9,2563.0,89.0,93.0,381.0,407.0,250.0,94.0,37.0,26.0,524.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-08,,,,,,,1.0,56.0,15.7,790.0,151.0,171.0,53.0,43.0,45.0,,,14.2,2330.0,73.0,93.0,476.0,517.0,319.0,104.0,53.0,41.0,535.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-09,,,,,,,1.0,45.0,14.0,608.0,148.0,166.0,84.0,41.0,53.0,,,13.9,2327.0,89.0,92.0,380.0,408.0,235.0,73.0,72.0,28.0,523.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,,,,,,,1.0,46.0,13.8,603.0,147.0,172.0,50.0,42.0,43.0,,,16.3,2510.0,86.0,95.0,479.0,520.0,326.0,109.0,44.0,41.0,540.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-11,,,,,,,1.0,60.0,16.2,863.0,153.0,174.0,52.0,43.0,43.0,,,14.8,2424.0,87.0,85.0,438.0,463.0,291.0,101.0,46.0,25.0,509.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-12,,,,,,,1.0,52.0,14.6,685.0,146.0,168.0,70.0,44.0,48.0,,,15.4,2494.0,95.0,89.0,467.0,545.0,244.0,134.0,89.0,78.0,534.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-13,,,,,,,1.0,52.0,15.2,709.0,149.0,169.0,33.0,49.0,36.0,,,4.1,1896.0,97.0,95.0,495.0,557.0,347.0,107.0,41.0,62.0,521.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-14,,,,,,,,,,,,,,,,,,,,,,487.0,519.0,359.0,96.0,32.0,32.0,502.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-15,,,,,,,1.0,62.0,15.2,816.0,146.0,162.0,45.5,46.0,39.5,,,14.850000000000001,2442.5,87.0,90.0,339.0,380.0,229.0,80.0,30.0,41.0,459.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-16,,,,,,,1.0,56.0,13.8,683.0,141.0,157.0,59.0,42.0,43.0,,,,1673.0,89.0,90.0,549.0,612.0,296.0,176.0,77.0,63.0,549.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,,,,,,,,,,,,,65.0,41.0,44.0,,,4.2,1733.0,100.0,91.0,424.0,467.0,297.0,87.0,40.0,43.0,477.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,,,,,,,,,,,,,80.0,40.0,49.0,,,14.7,2366.0,100.0,81.0,534.0,595.0,329.0,120.0,85.0,61.0,480.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-19,,,,,,,1.0,45.0,14.6,643.0,151.0,181.0,78.0,41.0,48.0,,,14.7,2364.0,100.0,92.0,500.0,613.0,264.0,126.0,110.0,113.0,450.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-20,,,,,,,1.0,41.0,14.6,590.0,153.0,178.0,72.0,42.0,48.0,,,6.0,1714.0,86.0,83.0,507.0,550.0,267.0,147.0,93.0,43.0,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-21,,,,,,,,,,,,,63.0,43.0,45.0,,,15.9,2632.0,100.0,86.0,413.0,492.0,271.0,103.0,39.0,79.0,483.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-22,,,,,,,1.0,62.0,15.9,847.0,150.0,173.0,93.0,41.0,56.0,,,13.6,2365.0,96.0,88.0,515.0,602.0,332.0,131.0,52.0,87.0,483.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-23,,,,,,,1.0,57.0,13.5,661.0,140.0,161.0,52.0,47.0,45.0,,,13.4,2271.0,98.0,89.0,471.0,544.0,334.0,68.0,69.0,73.0,491.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-24,,,,,,,1.0,45.0,13.3,565.0,143.0,168.0,94.0,43.0,59.0,,,16.7,2450.0,100.0,93.0,480.0,535.0,274.0,114.0,92.0,55.0,487.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,,,,,,,1.0,55.0,16.6,837.0,156.0,173.0,70.0,48.0,52.0,,,14.8,2590.0,99.0,82.0,514.0,555.0,320.0,98.0,96.0,41.0,480.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-26,,,,,,,1.0,63.0,14.7,779.0,141.0,167.0,96.0,41.0,59.0,,,14.1,2204.0,100.0,95.0,494.0,603.0,266.0,116.0,112.0,109.0,497.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-27,,,,,,,1.0,36.0,14.0,528.0,153.0,179.0,77.0,42.0,55.0,,,7.2,1831.0,83.0,87.0,488.0,517.0,322.0,95.0,71.0,29.0,487.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-28,,,,,,,,,,,,,70.0,41.0,53.0,,,16.6,2633.0,100.0,96.0,399.0,470.0,210.0,109.0,80.0,71.0,479.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-29,,,,,,,1.0,59.0,16.5,860.0,153.0,178.0,68.0,41.0,52.0,,,13.0,2139.0,98.0,94.0,551.0,583.0,305.0,163.0,83.0,32.0,492.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,,,,,,,1.0,33.0,12.9,450.0,148.0,172.0,63.0,42.0,49.0,,,17.1,2537.0,100.0,95.0,487.0,526.0,283.0,117.0,87.0,39.0,496.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,,,,,,,1.0,54.0,17.0,841.0,159.0,182.0,94.0,43.0,59.0,,,16.0,2519.0,100.0,97.0,484.0,511.0,281.0,115.0,88.0,27.0,478.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,,,,,,,1.0,54.0,15.8,781.0,154.0,167.0,69.0,42.0,51.0,,,15.7,2579.0,98.0,87.0,530.0,542.0,296.0,117.0,117.0,12.0,500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-03,,,,,,,1.0,93.0,15.6,1037.0,136.0,161.0,92.0,43.0,62.0,,,13.3,2242.0,100.0,91.0,483.0,557.0,266.0,93.0,124.0,74.0,492.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-04,,,,,,,1.0,30.0,13.1,407.0,147.0,172.0,38.0,44.0,41.0,,,4.2,1709.0,94.0,88.0,597.0,653.0,399.0,73.0,125.0,56.0,495.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-05,,,,,,,,,,,,,42.0,45.0,40.0,,,17.3,2871.0,100.0,85.0,445.0,508.0,334.0,66.0,45.0,63.0,474.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-06,,,,,,,1.0,82.0,17.1,1116.0,148.0,175.0,70.0,43.0,50.0,,,14.9,2492.0,100.0,94.0,483.0,568.0,318.0,104.0,61.0,85.0,464.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-07,,,,,,,1.0,57.0,14.8,747.0,146.0,178.0,64.0,42.0,47.0,,,14.0,2542.0,87.0,92.0,541.0,573.0,279.0,167.0,95.0,32.0,501.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-08,,,,,,,1.0,60.0,13.9,709.0,139.0,164.0,,,,,,,,,,420.0,471.0,242.0,131.0,47.0,51.0,484.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-09,,,,,,,1.0,54.0,14.8,723.0,147.0,166.0,66.0,47.0,54.0,,,14.8,2473.0,90.0,98.0,454.0,460.0,263.0,98.0,93.0,6.0,507.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-10,,,,,,,1.0,62.0,14.5,770.0,142.0,165.0,69.5,46.0,51.5,,,17.0,2808.5,71.0,94.0,337.0,354.0,212.0,70.0,55.0,17.0,506.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
