Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2025-11-04 23:51:04,2025-11-05 21:50:39,UTC-08:00,2025-11-04 23:51:04,2025-11-05 06:54:08,77,15.2,404,423,187,120,97,19,532,80,95,53,false
2025-11-03 22:06:02,2025-11-04 23:51:04,UTC-08:00,2025-11-03 22:06:02,2025-11-04 03:35:59,74,14.5,317,329,175,116,26,12,478,0,96,54,false
2025-11-02 21:16:53,2025-11-03 22:06:02,UTC-08:00,2025-11-02 21:16:53,2025-11-03 06:03:49,89,15.2,491,526,248,145,98,35,491,0,93,75,false
2025-11-01 19:28:20,2025-11-02 21:16:53,UTC-08:00,2025-11-01 19:28:20,2025-11-02 07:48:58,81,14.7,668,740,493,116,59,72,474,4,90,61,false
2025-10-31 22:14:48,2025-11-01 20:28:20,UTC-07:00,2025-10-31 22:14:48,2025-11-01 06:56:49,92,15.4,472,522,203,164,105,50,481,0,90,83,false
2025-10-30 20:25:16,2025-10-31 22:14:48,UTC-07:00,2025-10-30 20:25:16,2025-10-31 06:01:26,89,14.6,550,576,255,155,140,26,474,24,95,76,false
2025-10-29 22:15:43,2025-10-30 20:25:16,UTC-07:00,2025-10-29 22:15:43,2025-10-30 06:25:44,94,14.5,455,490,221,132,102,35,493,19,92,93,false
2025-10-28 22:16:12,2025-10-29 22:15:43,UTC-07:00,2025-10-28 22:16:12,2025-10-29 06:39:20,95,14.6,467,503,259,150,58,36,497,7,92,89,false
2025-10-27 21:46:52,2025-10-28 22:16:12,UTC-07:00,2025-10-27 21:46:52,2025-10-28 06:18:50,94,14.5,466,511,237,155,74,45,479,19,91,86,false
2025-10-26 22:34:20,2025-10-27 21:46:52,UTC-07:00,2025-10-26 22:34:20,2025-10-27 06:51:50,92,14.6,453,497,244,129,80,44,492,0,91,86,false
2025-10-25 21:48:46,2025-10-26 22:34:20,UTC-07:00,2025-10-25 21:48:46,2025-10-26 07:07:49,97,15.4,521,559,285,143,93,38,468,0,93,89,false
2025-10-24 21:48:14,2025-10-25 21:48:46,UTC-07:00,2025-10-24 21:48:14,2025-10-25 07:58:57,89,15.1,549,610,273,156,120,61,477,0,90,78,false
2025-10-23 21:54:12,2025-10-24 21:48:14,UTC-07:00,2025-10-23 21:54:12,2025-10-24 06:42:05,99,15.1,508,527,271,161,76,19,475,0,96,89,false
2025-10-22 22:24:39,2025-10-23 21:54:12,UTC-07:00,2025-10-22 22:24:39,2025-10-23 06:48:09,93,14.6,479,503,249,132,98,24,474,0,95,82,false
2025-10-21 21:22:38,2025-10-22 22:24:39,UTC-07:00,2025-10-21 21:22:38,2025-10-22 05:36:34,91,15.1,475,493,202,145,128,18,462,12,96,79,false
2025-10-20 22:04:06,2025-10-21 21:22:38,UTC-07:00,2025-10-20 22:04:06,2025-10-21 06:20:37,87,15.5,446,496,278,119,49,50,472,0,90,83,false
2025-10-19 21:56:03,2025-10-20 22:04:06,UTC-07:00,2025-10-19 21:56:03,2025-10-20 06:37:56,95,14.4,500,521,306,134,60,21,467,0,96,84,false
2025-10-18 21:37:32,2025-10-19 21:56:03,UTC-07:00,2025-10-18 21:37:32,2025-10-19 07:22:33,98,14.5,537,585,317,138,82,48,463,0,92,88,false
2025-10-17 21:27:58,2025-10-18 21:37:32,UTC-07:00,2025-10-17 21:27:58,2025-10-18 08:25:17,91,14.8,613,657,340,149,124,44,450,0,93,79,false
2025-10-16 20:57:26,2025-10-17 21:27:58,UTC-07:00,2025-10-16 20:57:26,2025-10-17 07:27:51,82,14.8,520,630,286,140,94,110,470,0,82,83,false
2025-10-15 21:45:24,2025-10-16 20:57:26,UTC-07:00,2025-10-15 21:45:24,2025-10-16 06:47:26,100,14.8,506,540,184,173,149,34,485,0,94,93,false
2025-10-14 21:48:52,2025-10-15 21:45:24,UTC-07:00,2025-10-14 21:48:52,2025-10-15 06:56:25,98,14.9,508,540,245,163,100,32,494,8,93,91,false
2025-10-13 22:08:20,2025-10-14 21:48:52,UTC-07:00,2025-10-13 22:08:20,2025-10-14 07:01:35,96,14.6,479,516,248,135,96,37,493,0,93,,false
2025-10-12 21:01:16,2025-10-13 22:08:20,UTC-07:00,2025-10-12 21:01:16,2025-10-13 06:36:17,100,14.5,520,572,325,122,73,52,463,0,90,,false
2025-10-04 21:06:48,2025-10-05 21:19:12,UTC-07:00,2025-10-04 21:06:48,2025-10-05 08:33:50,82,14.8,604,687,299,163,142,83,528,50,87,62,false
2025-10-03 22:32:46,2025-10-04 21:06:48,UTC-07:00,2025-10-03 22:32:46,2025-10-04 05:03:17,81,14.5,349,382,157,111,81,33,449,0,91,72,false
2025-10-02 22:10:42,2025-10-03 22:32:46,UTC-07:00,2025-10-02 22:10:42,2025-10-03 07:07:13,100,14.7,513,534,212,136,165,21,471,0,96,90,false
2025-10-01 22:22:39,2025-10-02 22:10:42,UTC-07:00,2025-10-01 22:22:39,2025-10-02 07:33:11,90,14.6,494,544,222,127,145,50,471,0,90,79,false
2025-09-30 21:56:08,2025-10-01 22:22:39,UTC-07:00,2025-09-30 21:56:08,2025-10-01 06:36:09,91,14.5,495,516,285,119,91,21,451,0,95,80,false
2025-09-29 21:58:03,2025-09-30 21:56:08,UTC-07:00,2025-09-29 21:58:03,2025-09-30 07:00:35,88,14.6,508,538,277,169,62,30,480,0,94,75,false
2025-09-28 21:48:48,2025-09-29 21:58:03,UTC-07:00,2025-09-28 21:48:48,2025-09-29 06:56:49,80,14.8,477,548,299,108,70,71,366,0,87,59,false
2025-09-27 21:47:15,2025-09-28 21:48:48,UTC-07:00,2025-09-28 12:09:16,2025-09-28 14:03:47,26,15.5,102,111,34,57,11,9,449,0,91,,true
2025-09-27 21:47:15,2025-09-28 21:48:48,UTC-07:00,2025-09-27 21:47:15,2025-09-28 09:36:46,86,15.5,602,677,391,104,107,75,461,0,88,74,false
2025-09-26 21:32:41,2025-09-27 21:47:15,UTC-07:00,2025-09-26 21:32:41,2025-09-27 08:07:13,93,14.8,568,621,325,143,100,53,472,0,91,82,false
2025-09-25 22:09:10,2025-09-26 21:32:41,UTC-07:00,2025-09-25 22:09:10,2025-09-26 07:59:41,88,14.5,523,587,371,112,40,64,465,0,89,77,false
2025-09-24 22:35:07,2025-09-25 22:09:10,UTC-07:00,2025-09-24 22:35:07,2025-09-25 07:30:09,86,15.5,483,535,267,147,69,52,464,14,90,72,false
2025-09-23 21:32:27,2025-09-24 22:35:07,UTC-07:00,2025-09-23 21:32:27,2025-09-24 05:56:29,87,14.7,460,504,249,111,100,44,488,36,91,77,false
2025-09-22 22:54:56,2025-09-23 21:32:27,UTC-07:00,2025-09-22 22:54:56,2025-09-23 06:32:27,81,14.0,418,457,210,143,65,39,490,18,91,65,false
2025-09-21 21:26:11,2025-09-22 22:54:56,UTC-07:00,2025-09-21 21:26:11,2025-09-22 04:56:12,82,16.0,413,448,161,112,140,35,450,0,92,64,false
2025-09-20 20:45:39,2025-09-21 21:26:11,UTC-07:00,2025-09-20 20:45:39,2025-09-21 07:56:40,89,14.2,615,670,292,166,157,55,459,0,91,78,false
2025-09-19 20:52:36,2025-09-20 20:45:39,UTC-07:00,2025-09-19 20:52:36,2025-09-20 08:23:07,85,15.4,660,685,342,146,172,25,450,0,96,67,false
2025-09-18 21:52:34,2025-09-19 20:52:36,UTC-07:00,2025-09-18 21:52:34,2025-09-19 06:34:35,100,14.4,485,522,293,122,70,37,472,0,93,94,false
2025-09-17 22:00:01,2025-09-18 21:52:34,UTC-07:00,2025-09-17 22:00:01,2025-09-18 06:25:02,100,14.6,490,499,315,116,59,9,476,0,98,91,false
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,2025-09-16 22:01:50,2025-09-17 06:46:22,98,14.9,489,519,317,121,51,30,479,18,94,88,false
2025-09-15 21:50:47,2025-09-16 22:01:50,UTC-07:00,2025-09-15 21:50:47,2025-09-16 06:05:18,91,14.7,447,494,236,146,65,47,483,0,90,84,false
2025-09-14 20:49:07,2025-09-15 21:50:47,UTC-07:00,2025-09-14 20:49:07,2025-09-15 06:54:39,94,14.7,574,605,241,141,192,31,461,7,94,83,false
2025-09-13 21:58:35,2025-09-14 20:49:07,UTC-07:00,2025-09-13 21:58:35,2025-09-14 06:59:06,94,14.2,480,529,292,146,42,49,492,5,90,84,false
2025-09-12 21:27:30,2025-09-13 21:58:35,UTC-07:00,2025-09-12 21:27:30,2025-09-13 05:41:31,94,14.5,466,491,275,130,61,25,475,0,94,86,false
2025-09-11 21:30:28,2025-09-12 21:27:30,UTC-07:00,2025-09-11 21:30:28,2025-09-12 06:30:29,98,14.6,518,536,334,121,63,18,458,8,96,88,false
2025-09-10 21:54:24,2025-09-11 21:30:28,UTC-07:00,2025-09-10 21:54:24,2025-09-11 06:44:56,96,14.3,494,528,269,143,82,34,507,40,93,87,false
2025-09-09 21:55:23,2025-09-10 21:54:24,UTC-07:00,2025-09-09 21:55:23,2025-09-10 05:00:24,84,14.4,406,425,262,112,32,19,486,1,95,76,false
2025-09-08 22:00:21,2025-09-09 21:55:23,UTC-07:00,2025-09-08 22:00:21,2025-09-09 06:30:22,98,14.2,477,510,270,127,80,33,480,0,93,88,false
2025-09-07 21:17:48,2025-09-08 22:00:21,UTC-07:00,2025-09-07 21:17:48,2025-09-08 06:40:38,99,15.4,513,556,329,111,73,43,466,0,92,89,false
2025-09-06 21:20:16,2025-09-07 21:17:48,UTC-07:00,2025-09-06 21:20:16,2025-09-07 06:30:47,93,15.1,487,547,251,118,118,60,475,0,89,84,false
2025-09-05 20:24:43,2025-09-06 21:20:16,UTC-07:00,2025-09-05 20:24:43,2025-09-06 07:00:45,85,14.9,591,636,279,132,180,45,474,25,92,68,false
2025-09-04 22:05:10,2025-09-05 20:24:43,UTC-07:00,2025-09-04 22:05:10,2025-09-05 06:34:41,86,14.8,463,504,244,146,73,41,513,49,91,78,false
2025-09-03 23:29:38,2025-09-04 22:05:10,UTC-07:00,2025-09-03 23:29:38,2025-09-04 06:25:09,79,14.2,376,415,195,118,63,39,476,0,90,59,false
2025-09-02 21:21:06,2025-09-03 23:29:38,UTC-07:00,2025-09-02 21:21:06,2025-09-03 06:18:37,81,14.7,469,537,322,117,30,68,453,0,87,63,false
2025-09-01 21:52:34,2025-09-02 21:21:06,UTC-07:00,2025-09-01 21:52:34,2025-09-02 09:23:05,79,15.9,513,671,287,116,110,158,450,0,76,82,false
2025-08-31 21:27:49,2025-09-01 21:52:34,UTC-07:00,2025-08-31 21:27:49,2025-09-01 09:13:33,90,15.5,638,699,364,148,126,61,472,0,91,78,false
2025-08-30 21:08:16,2025-08-31 21:27:49,UTC-07:00,2025-08-30 21:08:16,2025-08-31 09:57:48,84,15.4,695,764,408,172,115,69,450,0,90,64,false
2025-08-29 20:32:11,2025-08-30 21:08:16,UTC-07:00,2025-08-29 20:32:11,2025-08-30 07:56:43,82,15.4,582,684,382,85,115,102,478,0,85,75,false
2025-08-28 21:33:09,2025-08-29 20:32:11,UTC-07:00,2025-08-28 21:33:09,2025-08-29 06:35:41,99,15.3,505,526,300,114,91,21,449,0,95,89,false
2025-08-27 21:43:06,2025-08-28 21:33:09,UTC-07:00,2025-08-27 21:43:06,2025-08-28 07:12:08,100,14.7,511,569,294,133,84,58,471,0,90,94,false
2025-08-26 22:01:03,2025-08-27 21:43:06,UTC-07:00,2025-08-26 22:01:03,2025-08-27 07:11:35,100,15.1,502,550,297,108,97,48,479,0,91,90,false
2025-08-25 21:52:32,2025-08-26 22:01:03,UTC-07:00,2025-08-25 21:52:32,2025-08-26 07:06:03,95,15.8,526,553,256,153,117,27,456,0,95,85,false
2025-08-24 21:15:59,2025-08-25 21:52:32,UTC-07:00,2025-08-24 21:15:59,2025-08-25 07:07:00,88,15.4,552,584,336,114,102,32,491,0,94,78,false
2025-08-23 21:50:56,2025-08-24 21:15:59,UTC-07:00,2025-08-23 21:50:56,2025-08-24 06:44:28,88,14.9,487,528,296,144,47,41,449,0,92,73,false
2025-08-22 22:17:53,2025-08-23 21:50:56,UTC-07:00,2025-08-22 22:17:53,2025-08-23 10:10:56,79,15.3,613,713,355,129,129,100,476,0,86,61,false
2025-08-21 21:27:22,2025-08-22 22:17:53,UTC-07:00,2025-08-21 21:27:22,2025-08-22 07:37:53,97,14.7,559,609,321,154,84,50,469,0,91,87,false
2025-08-20 21:41:49,2025-08-21 21:27:22,UTC-07:00,2025-08-20 21:41:49,2025-08-21 07:06:21,100,14.4,503,561,303,135,65,58,474,5,89,91,false
2025-08-19 21:58:46,2025-08-20 21:41:49,UTC-07:00,2025-08-19 21:58:46,2025-08-20 06:35:44,95,14.3,464,516,219,146,99,52,472,0,89,86,false
2025-08-18 21:30:45,2025-08-19 21:58:46,UTC-07:00,2025-08-18 21:30:45,2025-08-19 07:00:16,96,14.4,529,569,283,135,111,40,486,0,92,86,false
2025-08-17 21:19:43,2025-08-18 21:30:45,UTC-07:00,2025-08-17 21:19:43,2025-08-18 06:48:14,89,15.6,500,568,285,126,89,68,449,0,89,78,false
2025-08-16 21:57:08,2025-08-17 21:19:43,UTC-07:00,2025-08-16 21:57:08,2025-08-17 08:29:24,94,15.0,603,628,313,171,119,25,479,0,96,83,false
2025-08-15 22:17:35,2025-08-16 21:57:08,UTC-07:00,2025-08-15 22:17:35,2025-08-16 07:27:06,95,15.2,502,541,280,126,96,39,460,0,92,84,false
2025-08-14 21:18:33,2025-08-15 22:17:35,UTC-07:00,2025-08-14 21:18:33,2025-08-15 07:49:04,100,14.9,562,628,349,115,98,66,468,0,89,91,false
2025-08-13 21:20:01,2025-08-14 21:18:33,UTC-07:00,2025-08-13 21:20:01,2025-08-14 07:14:27,93,15.6,558,594,295,181,82,36,466,0,94,84,false
2025-08-12 21:13:58,2025-08-13 21:20:01,UTC-07:00,2025-08-12 21:13:58,2025-08-13 08:05:10,85,15.0,563,637,333,123,107,74,461,0,88,77,false
2025-08-11 21:16:57,2025-08-12 21:13:58,UTC-07:00,2025-08-11 21:16:57,2025-08-12 07:27:58,86,14.7,503,609,308,135,60,106,488,28,91,72,false
2025-08-10 22:29:54,2025-08-11 21:16:57,UTC-07:00,2025-08-10 22:29:54,2025-08-11 05:57:55,81,14.9,413,448,247,119,47,35,470,0,92,64,false
2025-08-09 20:34:52,2025-08-10 22:29:54,UTC-07:00,2025-08-09 20:34:52,2025-08-10 09:52:23,76,14.8,633,780,407,115,111,147,470,21,81,57,false
2025-08-08 21:44:48,2025-08-09 20:34:52,UTC-07:00,2025-08-08 21:44:48,2025-08-09 06:28:19,93,14.9,472,520,204,136,132,48,505,29,90,86,false
2025-08-07 22:03:46,2025-08-08 21:44:48,UTC-07:00,2025-08-07 22:03:46,2025-08-08 07:20:17,77,15.2,418,531,221,107,90,113,477,0,78,89,false
2025-08-06 21:56:43,2025-08-07 22:03:46,UTC-07:00,2025-08-06 21:56:43,2025-08-07 07:35:15,96,15.8,548,578,250,141,157,30,477,0,95,86,false
2025-08-05 21:11:41,2025-08-06 21:56:43,UTC-07:00,2025-08-05 21:11:41,2025-08-06 07:08:51,88,14.8,560,597,300,140,120,37,493,0,94,79,false
2025-08-04 21:47:08,2025-08-05 21:11:41,UTC-07:00,2025-08-04 21:47:08,2025-08-05 06:16:39,87,14.7,452,506,281,123,48,54,449,0,89,75,false
2025-08-03 22:29:36,2025-08-04 21:47:08,UTC-07:00,2025-08-03 22:29:36,2025-08-04 07:57:38,95,14.5,526,565,261,137,128,39,473,0,93,85,false
2025-08-02 21:36:04,2025-08-03 22:29:36,UTC-07:00,2025-08-02 21:36:04,2025-08-03 07:47:06,92,15.2,534,604,297,127,110,70,473,0,88,86,false
2025-08-01 22:02:02,2025-08-02 21:36:04,UTC-07:00,2025-08-01 22:02:02,2025-08-02 08:29:03,91,14.7,566,625,302,141,123,59,487,13,93,79,false
2025-07-31 21:28:59,2025-08-01 22:02:02,UTC-07:00,2025-07-31 21:28:59,2025-08-01 07:30:01,77,15.2,450,591,165,172,113,141,477,0,76,90,false
2025-07-30 21:16:56,2025-07-31 21:28:59,UTC-07:00,2025-07-30 21:16:56,2025-07-31 06:48:27,88,14.2,491,571,307,113,71,80,450,0,85,85,false
2025-07-29 21:42:23,2025-07-30 21:16:56,UTC-07:00,2025-07-29 21:42:23,2025-07-30 07:17:46,97,14.2,522,575,293,129,100,53,482,0,90,87,false
2025-07-28 22:18:50,2025-07-29 21:42:23,UTC-07:00,2025-07-28 22:18:50,2025-07-29 07:11:22,93,14.4,495,529,276,160,59,34,481,0,93,82,false
2025-07-27 21:11:48,2025-07-28 22:18:50,UTC-07:00,2025-07-27 21:11:48,2025-07-28 08:09:20,85,15.2,551,645,309,146,96,94,450,0,85,78,false
2025-07-26 22:07:46,2025-07-27 21:11:48,UTC-07:00,2025-07-26 22:07:46,2025-07-27 06:51:18,94,15.1,494,515,286,162,46,21,462,0,96,83,false
2025-07-25 22:02:44,2025-07-26 22:07:46,UTC-07:00,2025-07-25 22:02:44,2025-07-26 08:52:45,89,15.1,576,647,328,157,91,71,472,0,89,78,false
2025-07-24 21:45:42,2025-07-25 22:02:44,UTC-07:00,2025-07-24 21:45:42,2025-07-25 07:32:43,98,15.0,560,585,272,157,131,25,468,0,95,93,false
2025-07-23 21:43:40,2025-07-24 21:45:42,UTC-07:00,2025-07-23 21:43:40,2025-07-24 06:53:42,99,14.2,525,550,325,134,66,25,467,0,95,89,false
2025-07-22 21:48:07,2025-07-23 21:43:40,UTC-07:00,2025-07-22 21:48:07,2025-07-23 07:36:15,100,15.0,551,588,271,142,138,37,481,0,93,90,false
2025-07-21 21:13:40,2025-07-22 21:48:07,UTC-07:00,2025-07-21 21:13:40,2025-07-22 07:51:39,92,15.0,583,637,317,144,122,54,469,0,91,86,false
2025-07-20 21:35:08,2025-07-21 21:13:40,UTC-07:00,2025-07-20 21:35:08,2025-07-21 07:11:33,100,14.4,534,576,287,158,89,42,472,0,92,91,false
2025-07-19 21:12:05,2025-07-20 21:35:08,UTC-07:00,2025-07-19 21:12:05,2025-07-20 07:01:06,90,15.2,514,589,295,120,99,75,450,0,87,86,false
2025-07-18 21:49:33,2025-07-19 21:12:05,UTC-07:00,2025-07-18 21:49:33,2025-07-19 07:21:50,93,14.3,541,572,341,136,64,31,471,3,94,82,false
2025-07-17 22:20:01,2025-07-18 21:49:33,UTC-07:00,2025-07-17 22:20:01,2025-07-18 06:33:13,91,14.6,457,493,227,178,52,36,463,0,92,79,false
2025-07-16 21:15:57,2025-07-17 22:20:01,UTC-07:00,2025-07-16 21:15:57,2025-07-17 06:21:29,85,14.9,503,545,339,110,54,42,475,0,92,83,false
2025-07-15 20:40:54,2025-07-16 21:15:57,UTC-07:00,2025-07-15 20:40:54,2025-07-16 08:02:05,87,14.9,590,675,364,105,121,85,450,0,87,77,false
2025-07-14 21:22:51,2025-07-15 20:40:54,UTC-07:00,2025-07-14 21:22:51,2025-07-15 06:48:22,95,14.4,534,564,234,192,108,30,490,16,95,84,false
2025-07-13 21:52:50,2025-07-14 21:22:51,UTC-07:00,2025-07-13 21:52:50,2025-07-14 06:10:21,84,15.2,445,497,228,115,102,52,478,0,89,75,false
2025-07-12 21:09:17,2025-07-13 21:52:50,UTC-07:00,2025-07-12 21:09:17,2025-07-13 08:10:48,86,15.5,579,661,325,178,76,82,458,0,87,78,false
2025-07-11 21:26:44,2025-07-12 21:09:17,UTC-07:00,2025-07-11 21:26:44,2025-07-12 07:56:32,88,14.7,559,618,324,155,80,59,465,13,94,74,false
2025-07-10 21:44:41,2025-07-11 21:26:44,UTC-07:00,2025-07-10 21:44:41,2025-07-11 05:56:44,88,14.2,451,487,291,128,32,36,472,0,92,77,false
2025-07-09 21:45:09,2025-07-10 21:44:41,UTC-07:00,2025-07-09 21:45:09,2025-07-10 07:05:11,85,14.2,503,558,270,136,97,55,400,0,92,68,false
2025-07-08 21:36:07,2025-07-09 21:45:09,UTC-07:00,2025-07-09 16:56:39,2025-07-09 18:40:09,11,18.2,50,102,27,21,2,52,450,0,49,,true
2025-07-08 21:36:07,2025-07-09 21:45:09,UTC-07:00,2025-07-08 21:36:07,2025-07-09 07:25:38,93,14.8,539,587,336,127,76,48,519,50,91,82,false
2025-07-07 22:38:35,2025-07-08 21:36:07,UTC-07:00,2025-07-07 22:38:35,2025-07-08 06:00:07,78,14.2,383,438,221,115,47,55,483,0,87,67,false
2025-07-06 21:28:40,2025-07-07 22:38:35,UTC-07:00,2025-07-06 21:28:40,2025-07-07 06:43:43,88,14.2,505,554,243,121,141,49,477,0,91,78,false
2025-07-05 20:56:38,2025-07-06 21:28:40,UTC-07:00,2025-07-05 20:56:38,2025-07-06 07:49:40,81,15.9,540,650,230,151,159,110,463,0,83,77,false
2025-07-04 21:27:35,2025-07-05 20:56:38,UTC-07:00,2025-07-04 21:27:35,2025-07-05 07:59:37,88,14.4,562,630,325,150,87,68,460,0,89,73,false
2025-07-03 21:31:01,2025-07-04 21:27:35,UTC-07:00,2025-07-03 21:31:01,2025-07-04 08:13:03,80,14.4,549,640,378,87,84,91,378,0,86,58,false
2025-07-02 21:38:29,2025-07-03 21:31:01,UTC-07:00,2025-07-03 15:04:31,2025-07-03 16:52:01,12,17.6,77,105,52,21,4,28,450,0,73,,true
2025-07-02 21:38:29,2025-07-03 21:31:01,UTC-07:00,2025-07-02 21:38:29,2025-07-03 06:39:20,79,14.2,476,540,260,115,101,64,468,32,88,68,false
2025-07-01 21:36:56,2025-07-02 21:38:29,UTC-07:00,2025-07-02 14:50:27,2025-07-02 15:54:27,8,18.0,37,58,31,6,0,21,483,32,63,,true
2025-07-01 21:36:56,2025-07-02 21:38:29,UTC-07:00,2025-07-01 21:36:56,2025-07-02 06:01:43,77,14.0,445,504,291,90,64,59,496,0,88,65,false
2025-06-30 20:09:53,2025-07-01 21:36:56,UTC-07:00,2025-06-30 20:09:53,2025-07-01 06:44:58,74,14.6,590,635,356,134,100,45,116,127,93,53,false
2025-06-29 16:16:49,2025-06-30 20:09:53,UTC-07:00,2025-06-29 22:15:51,2025-06-30 06:39:52,85,14.3,479,500,234,123,122,21,577,127,95,,true
2025-06-29 16:16:49,2025-06-30 20:09:53,UTC-07:00,2025-06-29 16:16:49,2025-06-29 20:07:51,1,17.1,126,209,64,41,21,83,450,0,60,,false
2025-06-28 21:14:17,2025-06-29 16:16:49,UTC-07:00,2025-06-28 21:14:17,2025-06-29 07:53:49,83,14.5,536,639,354,70,112,103,486,0,84,,false
2025-05-24 19:23:52,2025-05-25 19:23:52,UTC-07:00,2025-05-24 19:23:52,2025-05-25 08:15:54,77,14.4,641,767,482,83,76,126,452,0,83,60,false
2025-05-22 21:17:49,2025-05-24 00:00:00,UTC-07:00,2025-05-22 21:17:49,2025-05-23 06:39:14,100,14.7,517,561,343,144,30,44,450,0,92,93,false
2025-05-21 21:36:32,2025-05-22 21:17:49,UTC-07:00,2025-05-21 21:36:32,2025-05-22 06:13:44,97,15.0,490,514,292,129,69,24,450,0,95,87,false
2025-05-20 20:49:48,2025-05-21 21:36:32,UTC-07:00,2025-05-20 20:49:48,2025-05-21 06:33:45,100,14.6,532,583,357,117,58,51,450,0,93,91,false
2025-05-19 21:17:08,2025-05-20 20:49:48,UTC-07:00,2025-05-19 21:17:08,2025-05-20 06:42:30,85,14.6,481,557,344,71,66,76,470,15,86,,false
2025-05-18 21:06:59,2025-05-19 21:17:08,UTC-07:00,2025-05-18 21:06:59,2025-05-19 06:58:12,76,14.3,454,581,230,124,100,127,485,0,78,,false
2024-12-11 20:32:35,2024-12-12 20:32:35,UTC-08:00,2024-12-11 20:32:35,2024-12-12 06:35:49,100,14.9,558,599,317,130,111,41,465,0,93,83,false
2024-12-10 21:29:44,2024-12-11 20:32:35,UTC-08:00,2024-12-10 21:29:44,2024-12-11 06:25:12,100,14.3,512,533,339,66,107,21,467,15,96,,false
2024-12-09 22:16:46,2024-12-10 21:29:44,UTC-08:00,2024-12-09 22:16:46,2024-12-10 06:29:27,94,14.0,456,492,291,96,69,36,486,0,95,,false
2024-10-30 21:29:43,2024-10-31 21:15:44,UTC-07:00,2024-10-30 21:29:43,2024-10-31 06:25:10,100,14.3,497,531,290,132,75,34,457,2,94,93,false
2024-10-29 21:15:44,2024-10-30 21:29:43,UTC-07:00,2024-10-29 21:15:44,2024-10-30 06:23:41,99,14.1,446,547,285,102,59,101,452,0,81,96,false
2024-10-28 21:12:46,2024-10-29 21:15:44,UTC-07:00,2024-10-28 21:12:46,2024-10-29 06:42:50,100,14.2,517,558,281,132,104,41,450,0,92,,false
2024-10-27 21:06:57,2024-10-28 21:12:46,UTC-07:00,2024-10-27 21:06:57,2024-10-28 06:51:55,100,14.4,567,584,394,105,68,17,484,0,96,,false
2024-08-25 21:20:26,2024-08-26 21:20:26,UTC-07:00,2024-08-25 21:20:26,2024-08-26 07:27:03,100,13.2,546,606,411,67,68,60,450,0,92,64,false
2024-08-24 22:56:29,2024-08-25 21:20:26,UTC-07:00,2024-08-24 22:56:29,2024-08-25 10:35:21,100,13.4,608,698,314,149,145,90,457,0,87,57,false
