Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-11-07 21:12:51,2025-11-08 20:34:23,UTC-08:00,46,60,57,34.88,94.27,4.6,1825,125,64,2025-11-07 21:12:51,2025-11-08 06:02:28,89,15.2,486,529,238,159,89,43,475,0,91,78
2025-11-06 22:04:46,2025-11-07 21:12:51,UTC-08:00,65,59,69,34.08,96.06,13.7,2359,171,66,2025-11-06 22:04:46,2025-11-07 06:51:18,93,15.1,511,526,141,151,219,15,495,13,97,82
2025-11-05 21:50:39,2025-11-06 22:04:46,UTC-08:00,19,65,41,34.70,96.02,14.8,2703,163,74,2025-11-05 21:50:39,2025-11-06 07:00:46,84,16.0,509,550,268,121,120,41,535,64,92,70
2025-11-04 23:51:04,2025-11-05 21:50:39,UTC-08:00,57,56,70,33.25,96.35,12.9,2139,173,67,2025-11-04 23:51:04,2025-11-05 06:54:08,77,15.2,404,423,187,120,97,19,532,80,95,53
2025-11-03 22:06:02,2025-11-04 23:51:04,UTC-08:00,80,56,86,34.16,97.07,6.6,2133,143,66,2025-11-03 22:06:02,2025-11-04 03:35:59,74,14.5,317,329,175,116,26,12,478,0,96,54
2025-11-02 21:16:53,2025-11-03 22:06:02,UTC-08:00,41,60,56,33.43,95.13,14.1,2511,175,71,2025-11-02 21:16:53,2025-11-03 06:03:49,89,15.2,491,526,248,145,98,35,491,0,93,75
2025-11-01 19:28:20,2025-11-02 21:16:53,UTC-08:00,73,56,78,33.73,95.17,16.0,2925,169,67,2025-11-01 19:28:20,2025-11-02 07:48:58,81,14.7,668,740,493,116,59,72,474,4,90,61
2025-10-31 22:14:48,2025-11-01 20:28:20,UTC-07:00,36,59,53,34.19,94.65,12.7,2195,171,69,2025-10-31 22:14:48,2025-11-01 06:56:49,92,15.4,472,522,203,164,105,50,481,0,90,83
2025-10-30 20:25:16,2025-10-31 22:14:48,UTC-07:00,95,53,97,33.86,97.34,14.7,2753,165,68,2025-10-30 20:25:16,2025-10-31 06:01:26,89,14.6,550,576,255,155,140,26,474,24,95,76
2025-10-29 22:15:43,2025-10-30 20:25:16,UTC-07:00,63,57,69,33.57,95.00,4.2,1707,122,63,2025-10-29 22:15:43,2025-10-30 06:25:44,94,14.5,455,490,221,132,102,35,493,19,92,93
2025-10-28 22:16:12,2025-10-29 22:15:43,UTC-07:00,86,55,82,34.07,95.56,13.4,2479,156,66,2025-10-28 22:16:12,2025-10-29 06:39:20,95,14.6,467,503,259,150,58,36,497,7,92,89
2025-10-27 21:46:52,2025-10-28 22:16:12,UTC-07:00,98,51,91,34.81,96.37,15.8,2743,172,68,2025-10-27 21:46:52,2025-10-28 06:18:50,94,14.5,466,511,237,155,74,45,479,19,91,86
2025-10-26 22:34:20,2025-10-27 21:46:52,UTC-07:00,83,55,74,34.37,97.22,10.1,2172,151,65,2025-10-26 22:34:20,2025-10-27 06:51:50,92,14.6,453,497,244,129,80,44,492,0,91,86
2025-10-25 21:48:46,2025-10-26 22:34:20,UTC-07:00,39,57,50,33.75,95.42,16.3,2885,171,68,2025-10-25 21:48:46,2025-10-26 07:07:49,97,15.4,521,559,285,143,93,38,468,0,93,89
2025-10-24 21:48:14,2025-10-25 21:48:46,UTC-07:00,73,59,71,,95.83,12.4,2259,171,67,2025-10-24 21:48:14,2025-10-25 07:58:57,89,15.1,549,610,273,156,120,61,477,0,90,78
2025-10-23 21:54:12,2025-10-24 21:48:14,UTC-07:00,37,64,49,34.61,94.64,13.9,2484,167,72,2025-10-23 21:54:12,2025-10-24 06:42:05,99,15.1,508,527,271,161,76,19,475,0,96,89
2025-10-22 22:24:39,2025-10-23 21:54:12,UTC-07:00,94,57,84,34.71,96.45,13.6,2391,168,67,2025-10-22 22:24:39,2025-10-23 06:48:09,93,14.6,479,503,249,132,98,24,474,0,95,82
2025-10-21 21:22:38,2025-10-22 22:24:39,UTC-07:00,55,58,58,34.62,96.12,13.4,2553,163,68,2025-10-21 21:22:38,2025-10-22 05:36:34,91,15.1,475,493,202,145,128,18,462,12,96,79
2025-10-20 22:04:06,2025-10-21 21:22:38,UTC-07:00,49,57,59,34.30,95.67,4.3,1802,123,62,2025-10-20 22:04:06,2025-10-21 06:20:37,87,15.5,446,496,278,119,49,50,472,0,90,83
2025-10-19 21:56:03,2025-10-20 22:04:06,UTC-07:00,96,50,84,33.74,95.87,13.1,2438,162,63,2025-10-19 21:56:03,2025-10-20 06:37:56,95,14.4,500,521,306,134,60,21,467,0,96,84
2025-10-18 21:37:32,2025-10-19 21:56:03,UTC-07:00,72,51,68,33.90,95.35,12.2,2427,158,62,2025-10-18 21:37:32,2025-10-19 07:22:33,98,14.5,537,585,317,138,82,48,463,0,92,88
2025-10-17 21:27:58,2025-10-18 21:37:32,UTC-07:00,98,54,85,34.60,95.73,11.2,2352,154,64,2025-10-17 21:27:58,2025-10-18 08:25:17,91,14.8,613,657,340,149,124,44,450,0,93,79
2025-10-16 20:57:26,2025-10-17 21:27:58,UTC-07:00,57,62,58,34.57,94.00,5.1,1930,130,67,2025-10-16 20:57:26,2025-10-17 07:27:51,82,14.8,520,630,286,140,94,110,470,0,82,83
2025-10-15 21:45:24,2025-10-16 20:57:26,UTC-07:00,52,61,54,34.70,95.32,12.7,2258,177,69,2025-10-15 21:45:24,2025-10-16 06:47:26,100,14.8,506,540,184,173,149,34,485,0,94,93
2025-10-14 21:48:52,2025-10-15 21:45:24,UTC-07:00,60,63,59,33.82,94.39,15.3,2686,165,71,2025-10-14 21:48:52,2025-10-15 06:56:25,98,14.9,508,540,245,163,100,32,494,8,93,91
2025-10-13 22:08:20,2025-10-14 21:48:52,UTC-07:00,69,56,66,32.82,96.69,15.2,2626,169,70,2025-10-13 22:08:20,2025-10-14 07:01:35,96,14.6,479,516,248,135,96,37,493,0,93,
2025-10-12 21:01:16,2025-10-13 22:08:20,UTC-07:00,82,54,74,33.16,94.31,16.3,2914,167,68,2025-10-12 21:01:16,2025-10-13 06:36:17,100,14.5,520,572,325,122,73,52,463,0,90,
2025-10-12 00:00:00,2025-10-12 21:01:16,UTC-07:00,,,,,,11.1,622,162,86,,,,,,,,,,,,,,
2025-10-11 00:00:00,2025-10-12 00:00:00,UTC-07:00,,,,,,,,,,,,,,,,,,,,,,,
2025-10-08 21:06:48,2025-10-09 21:06:48,UTC-07:00,,,,,,,,,,,,,,,,,,,,,,,
2025-10-07 21:06:48,2025-10-08 21:06:48,UTC-07:00,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06 21:06:48,2025-10-07 21:06:48,UTC-07:00,,,,,,,,,,,,,,,,,,,,,,,
2025-10-05 21:19:12,2025-10-06 21:06:48,UTC-07:00,,,,,,,,,,,,,,,,,,,,,,,
2025-10-04 21:06:48,2025-10-05 21:19:12,UTC-07:00,36,62,52,32.86,94.36,14.9,2594,171,70,2025-10-04 21:06:48,2025-10-05 08:33:50,82,14.8,604,687,299,163,142,83,528,50,87,62
2025-10-03 22:32:46,2025-10-04 21:06:48,UTC-07:00,64,56,71,33.96,93.64,14.2,2344,174,71,2025-10-03 22:32:46,2025-10-04 05:03:17,81,14.5,349,382,157,111,81,33,449,0,91,72
2025-10-02 22:10:42,2025-10-03 22:32:46,UTC-07:00,49,61,59,33.48,96.05,4.5,1891,129,65,2025-10-02 22:10:42,2025-10-03 07:07:13,100,14.7,513,534,212,136,165,21,471,0,96,90
2025-10-01 22:22:39,2025-10-02 22:10:42,UTC-07:00,63,61,72,33.47,95.15,12.9,2447,157,71,2025-10-01 22:22:39,2025-10-02 07:33:11,90,14.6,494,544,222,127,145,50,471,0,90,79
2025-09-30 21:56:08,2025-10-01 22:22:39,UTC-07:00,44,59,65,34.06,95.10,12.9,2431,160,71,2025-09-30 21:56:08,2025-10-01 06:36:09,91,14.5,495,516,285,119,91,21,451,0,95,80
2025-09-29 21:58:03,2025-09-30 21:56:08,UTC-07:00,45,58,65,33.42,94.91,5.7,1926,129,68,2025-09-29 21:58:03,2025-09-30 07:00:35,88,14.6,508,538,277,169,62,30,480,0,94,75
2025-09-28 21:48:48,2025-09-29 21:58:03,UTC-07:00,30,56,50,33.57,94.59,14.5,2576,174,71,2025-09-28 21:48:48,2025-09-29 06:56:49,80,14.8,477,548,299,108,70,71,366,0,87,59
2025-09-27 21:47:15,2025-09-28 21:48:48,UTC-07:00,8,56,62,33.88,97.63,12.5,2331,168,64,2025-09-28 12:09:16,2025-09-28 14:03:47,26,15.5,102,111,34,57,11,9,449,0,91,
2025-09-26 21:32:41,2025-09-27 21:47:15,UTC-07:00,76,52,86,33.85,94.86,10.8,2195,172,64,2025-09-26 21:32:41,2025-09-27 08:07:13,93,14.8,568,621,325,143,100,53,472,0,91,82
2025-09-25 22:09:10,2025-09-26 21:32:41,UTC-07:00,90,50,97,33.72,94.04,13.1,2347,170,64,2025-09-25 22:09:10,2025-09-26 07:59:41,88,14.5,523,587,371,112,40,64,465,0,89,77
2025-09-24 22:35:07,2025-09-25 22:09:10,UTC-07:00,67,59,79,33.32,94.80,11.6,2287,158,67,2025-09-24 22:35:07,2025-09-25 07:30:09,86,15.5,483,535,267,147,69,52,464,14,90,72
2025-09-23 21:32:27,2025-09-24 22:35:07,UTC-07:00,73,54,82,32.85,96.44,4.5,1942,136,62,2025-09-23 21:32:27,2025-09-24 05:56:29,87,14.7,460,504,249,111,100,44,488,36,91,77
2025-09-22 22:54:56,2025-09-23 21:32:27,UTC-07:00,35,56,58,33.96,96.67,6.9,1905,145,68,2025-09-22 22:54:56,2025-09-23 06:32:27,81,14.0,418,457,210,143,65,39,490,18,91,65
2025-09-21 21:26:11,2025-09-22 22:54:56,UTC-07:00,24,60,49,34.47,94.50,13.1,2578,168,73,2025-09-21 21:26:11,2025-09-22 04:56:12,82,16.0,413,448,161,112,140,35,450,0,92,64
2025-09-20 20:45:39,2025-09-21 21:26:11,UTC-07:00,54,59,74,33.50,94.53,5.1,1940,123,64,2025-09-20 20:45:39,2025-09-21 07:56:40,89,14.2,615,670,292,166,157,55,459,0,91,78
2025-09-19 20:52:36,2025-09-20 20:45:39,UTC-07:00,42,60,67,33.90,94.27,10.1,2196,152,66,2025-09-19 20:52:36,2025-09-20 08:23:07,85,15.4,660,685,342,146,172,25,450,0,96,67
2025-09-18 21:52:34,2025-09-19 20:52:36,UTC-07:00,56,57,75,33.80,94.95,4.8,1798,125,62,2025-09-18 21:52:34,2025-09-19 06:34:35,100,14.4,485,522,293,122,70,37,472,0,93,94
2025-09-17 22:00:01,2025-09-18 21:52:34,UTC-07:00,69,56,81,34.23,94.95,13.1,2464,158,65,2025-09-17 22:00:01,2025-09-18 06:25:02,100,14.6,490,499,315,116,59,9,476,0,98,91
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,73,54,84,33.70,94.85,13.9,2529,170,66,2025-09-16 22:01:50,2025-09-17 06:46:22,98,14.9,489,519,317,121,51,30,479,18,94,88
2025-09-15 21:50:47,2025-09-16 22:01:50,UTC-07:00,56,58,74,34.51,92.72,10.8,2234,160,66,2025-09-15 21:50:47,2025-09-16 06:05:18,91,14.7,447,494,236,146,65,47,483,0,90,84
2025-09-14 20:49:07,2025-09-15 21:50:47,UTC-07:00,57,58,76,33.61,94.00,14.9,2817,162,68,2025-09-14 20:49:07,2025-09-15 06:54:39,94,14.7,574,605,241,141,192,31,461,7,94,83
2025-09-13 21:58:35,2025-09-14 20:49:07,UTC-07:00,56,58,75,32.63,92.81,7.9,1936,138,70,2025-09-13 21:58:35,2025-09-14 06:59:06,94,14.2,480,529,292,146,42,49,492,5,90,84
2025-09-12 21:27:30,2025-09-13 21:58:35,UTC-07:00,22,61,47,32.97,94.18,15.4,2681,175,69,2025-09-12 21:27:30,2025-09-13 05:41:31,94,14.5,466,491,275,130,61,25,475,0,94,86
2025-09-11 21:30:28,2025-09-12 21:27:30,UTC-07:00,52,56,72,,94.83,13.6,2539,159,69,2025-09-11 21:30:28,2025-09-12 06:30:29,98,14.6,518,536,334,121,63,18,458,8,96,88
2025-09-10 21:54:24,2025-09-11 21:30:28,UTC-07:00,97,50,107,32.98,94.82,4.8,1842,130,60,2025-09-10 21:54:24,2025-09-11 06:44:56,96,14.3,494,528,269,143,82,34,507,40,93,87
2025-09-09 21:55:23,2025-09-10 21:54:24,UTC-07:00,61,55,77,33.89,93.53,12.1,2311,163,64,2025-09-09 21:55:23,2025-09-10 05:00:24,84,14.4,406,425,262,112,32,19,486,1,95,76
2025-09-08 22:00:21,2025-09-09 21:55:23,UTC-07:00,62,53,75,34.38,93.52,15.2,2604,174,66,2025-09-08 22:00:21,2025-09-09 06:30:22,98,14.2,477,510,270,127,80,33,480,0,93,88
2025-09-07 21:17:48,2025-09-08 22:00:21,UTC-07:00,41,55,64,33.72,95.09,14.4,2589,170,66,2025-09-07 21:17:48,2025-09-08 06:40:38,99,15.4,513,556,329,111,73,43,466,0,92,89
2025-09-06 21:20:16,2025-09-07 21:17:48,UTC-07:00,46,53,68,33.88,95.71,11.9,2314,164,64,2025-09-06 21:20:16,2025-09-07 06:30:47,93,15.1,487,547,251,118,118,60,475,0,89,84
2025-09-05 20:24:43,2025-09-06 21:20:16,UTC-07:00,42,58,69,33.54,94.88,13.7,2485,180,68,2025-09-05 20:24:43,2025-09-06 07:00:45,85,14.9,591,636,279,132,180,45,474,25,92,68
2025-09-04 22:05:10,2025-09-05 20:24:43,UTC-07:00,61,54,83,32.94,94.80,4.1,1721,125,58,2025-09-04 22:05:10,2025-09-05 06:34:41,86,14.8,463,504,244,146,73,41,513,49,91,78
2025-09-03 23:29:38,2025-09-04 22:05:10,UTC-07:00,90,55,112,32.65,95.90,11.4,2191,162,64,2025-09-03 23:29:38,2025-09-04 06:25:09,79,14.2,376,415,195,118,63,39,476,0,90,59
2025-09-02 21:21:06,2025-09-03 23:29:38,UTC-07:00,98,51,108,34.42,93.98,13.8,2635,176,65,2025-09-02 21:21:06,2025-09-03 06:18:37,81,14.7,469,537,322,117,30,68,453,0,87,63
2025-09-01 21:52:34,2025-09-02 21:21:06,UTC-07:00,39,54,66,32.29,93.47,7.5,2004,140,64,2025-09-01 21:52:34,2025-09-02 09:23:05,79,15.9,513,671,287,116,110,158,450,0,76,82
2025-08-31 21:27:49,2025-09-01 21:52:34,UTC-07:00,91,54,96,31.45,94.63,4.7,1894,119,59,2025-08-31 21:27:49,2025-09-01 09:13:33,90,15.5,638,699,364,148,126,61,472,0,91,78
2025-08-30 21:08:16,2025-08-31 21:27:49,UTC-07:00,57,54,76,33.20,94.71,13.2,2456,167,64,2025-08-30 21:08:16,2025-08-31 09:57:48,84,15.4,695,764,408,172,115,69,450,0,90,64
2025-08-29 20:32:11,2025-08-30 21:08:16,UTC-07:00,77,55,87,33.83,93.15,4.7,1931,133,61,2025-08-29 20:32:11,2025-08-30 07:56:43,82,15.4,582,684,382,85,115,102,478,0,85,75
2025-08-28 21:33:09,2025-08-29 20:32:11,UTC-07:00,63,53,81,34.59,94.87,14.2,2432,175,64,2025-08-28 21:33:09,2025-08-29 06:35:41,99,15.3,505,526,300,114,91,21,449,0,95,89
2025-08-27 21:43:06,2025-08-28 21:33:09,UTC-07:00,73,53,87,33.24,93.95,4.3,1838,122,59,2025-08-27 21:43:06,2025-08-28 07:12:08,100,14.7,511,569,294,133,84,58,471,0,90,94
2025-08-26 22:01:03,2025-08-27 21:43:06,UTC-07:00,52,57,75,34.49,94.90,12.9,2405,156,65,2025-08-26 22:01:03,2025-08-27 07:11:35,100,15.1,502,550,297,108,97,48,479,0,91,90
2025-08-25 21:52:32,2025-08-26 22:01:03,UTC-07:00,44,60,72,34.91,95.08,14.3,2645,172,68,2025-08-25 21:52:32,2025-08-26 07:06:03,95,15.8,526,553,256,153,117,27,456,0,95,85
2025-08-24 21:15:59,2025-08-25 21:52:32,UTC-07:00,41,55,67,34.14,95.09,8.8,2115,166,62,2025-08-24 21:15:59,2025-08-25 07:07:00,88,15.4,552,584,336,114,102,32,491,0,94,78
2025-08-23 21:50:56,2025-08-24 21:15:59,UTC-07:00,67,47,89,34.04,95.48,16.1,2929,168,64,2025-08-23 21:50:56,2025-08-24 06:44:28,88,14.9,487,528,296,144,47,41,449,0,92,73
2025-08-22 22:17:53,2025-08-23 21:50:56,UTC-07:00,73,53,94,34.57,94.89,4.3,1819,122,56,2025-08-22 22:17:53,2025-08-23 10:10:56,79,15.3,613,713,355,129,129,100,476,0,86,61
2025-08-21 21:27:22,2025-08-22 22:17:53,UTC-07:00,84,53,99,34.44,94.55,13.8,2641,161,64,2025-08-21 21:27:22,2025-08-22 07:37:53,97,14.7,559,609,321,154,84,50,469,0,91,87
2025-08-20 21:41:49,2025-08-21 21:27:22,UTC-07:00,96,51,109,34.23,94.16,12.5,2390,165,63,2025-08-20 21:41:49,2025-08-21 07:06:21,100,14.4,503,561,303,135,65,58,474,5,89,91
2025-08-19 21:58:46,2025-08-20 21:41:49,UTC-07:00,95,52,104,34.24,94.78,12.5,2327,165,63,2025-08-19 21:58:46,2025-08-20 06:35:44,95,14.3,464,516,219,146,99,52,472,0,89,86
2025-08-18 21:30:45,2025-08-19 21:58:46,UTC-07:00,90,52,93,33.01,95.47,13.2,2473,163,62,2025-08-18 21:30:45,2025-08-19 07:00:16,96,14.4,529,569,283,135,111,40,486,0,92,86
2025-08-17 21:19:43,2025-08-18 21:30:45,UTC-07:00,77,55,83,33.68,95.00,15.4,2801,176,70,2025-08-17 21:19:43,2025-08-18 06:48:14,89,15.6,500,568,285,126,89,68,449,0,89,78
2025-08-16 21:57:08,2025-08-17 21:19:43,UTC-07:00,67,56,76,33.62,95.55,4.1,1799,122,59,2025-08-16 21:57:08,2025-08-17 08:29:24,94,15.0,603,628,313,171,119,25,479,0,96,83
2025-08-15 22:17:35,2025-08-16 21:57:08,UTC-07:00,91,53,94,34.34,94.14,14.3,2630,162,66,2025-08-15 22:17:35,2025-08-16 07:27:06,95,15.2,502,541,280,126,96,39,460,0,92,84
2025-08-14 21:18:33,2025-08-15 22:17:35,UTC-07:00,81,55,87,33.80,95.34,10.2,2303,170,63,2025-08-14 21:18:33,2025-08-15 07:49:04,100,14.9,562,628,349,115,98,66,468,0,89,91
2025-08-13 21:20:01,2025-08-14 21:18:33,UTC-07:00,50,59,65,34.34,94.50,12.3,2338,164,66,2025-08-13 21:20:01,2025-08-14 07:14:27,93,15.6,558,594,295,181,82,36,466,0,94,84
2025-08-12 21:13:58,2025-08-13 21:20:01,UTC-07:00,54,54,66,32.98,93.76,11.9,2276,169,64,2025-08-12 21:13:58,2025-08-13 08:05:10,85,15.0,563,637,333,123,107,74,461,0,88,77
2025-08-11 21:16:57,2025-08-12 21:13:58,UTC-07:00,61,48,70,33.82,94.81,10.6,2224,153,62,2025-08-11 21:16:57,2025-08-12 07:27:58,86,14.7,503,609,308,135,60,106,488,28,91,72
2025-08-10 22:29:54,2025-08-11 21:16:57,UTC-07:00,66,50,74,33.47,94.96,10.2,2169,152,61,2025-08-10 22:29:54,2025-08-11 05:57:55,81,14.9,413,448,247,119,47,35,470,0,92,64
2025-08-09 20:34:52,2025-08-10 22:29:54,UTC-07:00,98,53,104,,94.85,12.8,2572,162,64,2025-08-09 20:34:52,2025-08-10 09:52:23,76,14.8,633,780,407,115,111,147,470,21,81,57
2025-08-08 21:44:48,2025-08-09 20:34:52,UTC-07:00,55,62,65,33.41,94.63,4.3,1768,123,64,2025-08-08 21:44:48,2025-08-09 06:28:19,93,14.9,472,520,204,136,132,48,505,29,90,86
2025-08-07 22:03:46,2025-08-08 21:44:48,UTC-07:00,30,62,48,33.54,95.39,13.7,2485,168,73,2025-08-07 22:03:46,2025-08-08 07:20:17,77,15.2,418,531,221,107,90,113,477,0,78,89
2025-08-06 21:56:43,2025-08-07 22:03:46,UTC-07:00,52,59,71,33.44,95.76,14.0,2550,169,67,2025-08-06 21:56:43,2025-08-07 07:35:15,96,15.8,548,578,250,141,157,30,477,0,95,86
2025-08-05 21:11:41,2025-08-06 21:56:43,UTC-07:00,36,61,56,34.69,94.48,14.0,2577,171,70,2025-08-05 21:11:41,2025-08-06 07:08:51,88,14.8,560,597,300,140,120,37,493,0,94,79
2025-08-04 21:47:08,2025-08-05 21:11:41,UTC-07:00,50,48,68,33.19,95.32,16.4,2973,165,70,2025-08-04 21:47:08,2025-08-05 06:16:39,87,14.7,452,506,281,123,48,54,449,0,89,75
2025-08-03 22:29:36,2025-08-04 21:47:08,UTC-07:00,81,50,91,33.23,96.06,4.1,1794,114,58,2025-08-03 22:29:36,2025-08-04 07:57:38,95,14.5,526,565,261,137,128,39,473,0,93,85
2025-08-02 21:36:04,2025-08-03 22:29:36,UTC-07:00,84,52,91,32.47,95.17,13.3,2527,165,63,2025-08-02 21:36:04,2025-08-03 07:47:06,92,15.2,534,604,297,127,110,70,473,0,88,86
2025-08-01 22:02:02,2025-08-02 21:36:04,UTC-07:00,92,57,96,33.68,96.42,13.4,2388,167,67,2025-08-01 22:02:02,2025-08-02 08:29:03,91,14.7,566,625,302,141,123,59,487,13,93,79
2025-07-31 21:28:59,2025-08-01 22:02:02,UTC-07:00,34,61,54,33.10,95.02,13.3,2482,164,69,2025-07-31 21:28:59,2025-08-01 07:30:01,77,15.2,450,591,165,172,113,141,477,0,76,90
2025-07-30 21:16:56,2025-07-31 21:28:59,UTC-07:00,96,52,105,33.39,95.72,14.0,2497,172,66,2025-07-30 21:16:56,2025-07-31 06:48:27,88,14.2,491,571,307,113,71,80,450,0,85,85
2025-07-29 21:42:23,2025-07-30 21:16:56,UTC-07:00,79,56,85,,95.87,5.0,1863,130,62,2025-07-29 21:42:23,2025-07-30 07:17:46,97,14.2,522,575,293,129,100,53,482,0,90,87
2025-07-28 22:18:50,2025-07-29 21:42:23,UTC-07:00,76,53,79,33.35,95.63,14.8,2495,173,65,2025-07-28 22:18:50,2025-07-29 07:11:22,93,14.4,495,529,276,160,59,34,481,0,93,82
2025-07-27 21:11:48,2025-07-28 22:18:50,UTC-07:00,41,55,55,33.25,95.29,14.5,2732,171,68,2025-07-27 21:11:48,2025-07-28 08:09:20,85,15.2,551,645,309,146,96,94,450,0,85,78
2025-07-26 22:07:46,2025-07-27 21:11:48,UTC-07:00,57,51,66,33.40,96.06,5.4,1845,131,62,2025-07-26 22:07:46,2025-07-27 06:51:18,94,15.1,494,515,286,162,46,21,462,0,96,83
2025-07-25 22:02:44,2025-07-26 22:07:46,UTC-07:00,59,52,71,32.92,94.55,10.8,2273,162,61,2025-07-25 22:02:44,2025-07-26 08:52:45,89,15.1,576,647,328,157,91,71,472,0,89,78
2025-07-24 21:45:42,2025-07-25 22:02:44,UTC-07:00,76,57,80,34.41,94.69,13.2,2428,168,66,2025-07-24 21:45:42,2025-07-25 07:32:43,98,15.0,560,585,272,157,131,25,468,0,95,93
2025-07-23 21:43:40,2025-07-24 21:45:42,UTC-07:00,96,53,98,33.59,94.27,12.3,2374,165,64,2025-07-23 21:43:40,2025-07-24 06:53:42,99,14.2,525,550,325,134,66,25,467,0,95,89
2025-07-22 21:48:07,2025-07-23 21:43:40,UTC-07:00,84,55,84,33.71,94.25,12.2,2298,165,65,2025-07-22 21:48:07,2025-07-23 07:36:15,100,15.0,551,588,271,142,138,37,481,0,93,90
2025-07-21 21:13:40,2025-07-22 21:48:07,UTC-07:00,42,65,57,34.67,95.79,14.6,2625,167,71,2025-07-21 21:13:40,2025-07-22 07:51:39,92,15.0,583,637,317,144,122,54,469,0,91,86
2025-07-20 21:35:08,2025-07-21 21:13:40,UTC-07:00,62,53,71,33.42,96.28,12.5,2331,166,68,2025-07-20 21:35:08,2025-07-21 07:11:33,100,14.4,534,576,287,158,89,42,472,0,92,91
2025-07-19 21:12:05,2025-07-20 21:35:08,UTC-07:00,57,53,67,33.21,96.50,13.1,2489,171,66,2025-07-19 21:12:05,2025-07-20 07:01:06,90,15.2,514,589,295,120,99,75,450,0,87,86
2025-07-18 21:49:33,2025-07-19 21:12:05,UTC-07:00,83,53,86,33.97,96.08,5.4,1852,125,62,2025-07-18 21:49:33,2025-07-19 07:21:50,93,14.3,541,572,341,136,64,31,471,3,94,82
2025-07-17 22:20:01,2025-07-18 21:49:33,UTC-07:00,67,53,74,32.90,96.11,12.1,2303,165,65,2025-07-17 22:20:01,2025-07-18 06:33:13,91,14.6,457,493,227,178,52,36,463,0,92,79
2025-07-16 21:15:57,2025-07-17 22:20:01,UTC-07:00,40,62,55,34.18,94.72,11.1,2326,167,70,2025-07-16 21:15:57,2025-07-17 06:21:29,85,14.9,503,545,339,110,54,42,475,0,92,83
2025-07-15 20:40:54,2025-07-16 21:15:57,UTC-07:00,95,53,94,33.29,95.94,13.6,2546,170,66,2025-07-15 20:40:54,2025-07-16 08:02:05,87,14.9,590,675,364,105,121,85,450,0,87,77
