Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled
2025-10-03 22:32:46,2025-10-04 21:06:48,UTC-07:00,2025-10-04 16:01:18,2025-10-04 16:27:00,25,12.2,366.0,174,154,8,9,43,40,0,false
2025-10-03 22:32:46,2025-10-04 21:06:48,UTC-07:00,2025-10-04 15:35:55,2025-10-04 15:56:00,20,6.9,171.0,160,128,31,33,24,0,0,false
2025-10-01 22:22:39,2025-10-02 22:10:42,UTC-07:00,2025-10-02 19:24:17,2025-10-02 19:51:00,26,8.8,281.0,157,137,25,39,36,0,0,false
2025-10-01 22:22:39,2025-10-02 22:10:42,UTC-07:00,2025-10-02 19:08:49,2025-10-02 19:14:00,5,4.7,44.0,155,127,35,39,15,0,0,false
2025-10-01 22:22:39,2025-10-02 22:10:42,UTC-07:00,2025-10-02 18:45:39,2025-10-02 19:07:00,21,6.2,152.0,151,121,38,42,2,0,0,false
2025-09-30 21:56:08,2025-10-01 22:22:39,UTC-07:00,2025-10-01 18:52:17,2025-10-01 19:24:00,31,10.5,355.0,160,140,11,41,42,0,0,false
2025-09-30 21:56:08,2025-10-01 22:22:39,UTC-07:00,2025-10-01 18:21:14,2025-10-01 18:45:00,23,6.4,172.0,147,121,54,30,0,0,0,false
2025-09-29 21:58:03,2025-09-30 21:56:08,UTC-07:00,2025-09-30 16:09:06,2025-09-30 16:23:55,14,4.1,28.0,126,90,19,0,0,0,0,false
2025-09-28 21:48:48,2025-09-29 21:58:03,UTC-07:00,2025-09-29 19:03:06,2025-09-29 19:18:00,14,9.1,204.0,174,151,12,14,27,47,0,false
2025-09-28 21:48:48,2025-09-29 21:58:03,UTC-07:00,2025-09-29 18:31:02,2025-09-29 18:53:00,21,9.2,258.0,173,142,10,23,50,12,0,false
2025-09-27 21:47:15,2025-09-28 21:48:48,UTC-07:00,2025-09-28 18:46:32,2025-09-28 19:06:00,19,9.0,238.0,168,145,11,23,53,12,0,false
2025-09-27 21:47:15,2025-09-28 21:48:48,UTC-07:00,2025-09-28 18:20:59,2025-09-28 18:44:00,23,7.2,200.0,158,127,33,44,14,0,0,false
2025-09-26 21:32:41,2025-09-27 21:47:15,UTC-07:00,2025-09-27 14:49:21,2025-09-27 14:55:00,5,4.4,38.0,152,121,74,24,2,0,0,false
2025-09-26 21:32:41,2025-09-27 21:47:15,UTC-07:00,2025-09-27 14:30:32,2025-09-27 14:48:03,17,8.7,219.0,165,146,12,13,68,5,0,false
2025-09-25 22:09:10,2025-09-26 21:32:41,UTC-07:00,2025-09-26 18:09:50,2025-09-26 18:41:00,31,10.5,339.0,166,139,26,18,43,10,0,false
2025-09-25 22:09:10,2025-09-26 21:32:41,UTC-07:00,2025-09-26 17:43:58,2025-09-26 18:06:00,22,6.9,185.0,158,127,36,38,16,0,0,false
2025-09-24 22:35:07,2025-09-25 22:09:10,UTC-07:00,2025-09-25 19:12:00,2025-09-25 19:32:00,20,7.7,209.0,154,137,21,54,19,0,0,false
2025-09-24 22:35:07,2025-09-25 22:09:10,UTC-07:00,2025-09-25 18:45:06,2025-09-25 19:08:00,22,7.1,197.0,158,128,38,43,13,0,0,false
2025-09-22 22:54:56,2025-09-23 21:32:27,UTC-07:00,2025-09-23 07:03:37,2025-09-23 07:29:48,26,5.8,159.0,141,117,94,3,0,0,0,false
2025-09-21 21:26:11,2025-09-22 22:54:56,UTC-07:00,2025-09-22 10:41:06,2025-09-22 10:50:00,8,6.4,104.0,167,142,29,15,33,23,0,false
2025-09-21 21:26:11,2025-09-22 22:54:56,UTC-07:00,2025-09-22 10:02:13,2025-09-22 10:39:00,36,9.0,308.0,164,127,46,18,25,2,0,false
2025-09-19 20:52:36,2025-09-20 20:45:39,UTC-07:00,2025-09-20 18:23:59,2025-09-20 19:08:00,44,9.6,387.0,152,128,37,48,6,0,0,false
2025-09-17 22:00:01,2025-09-18 21:52:34,UTC-07:00,2025-09-18 19:18:27,2025-09-18 19:41:00,22,7.8,220.0,157,133,26,42,28,0,0,false
2025-09-17 22:00:01,2025-09-18 21:52:34,UTC-07:00,2025-09-18 18:27:45,2025-09-18 19:16:00,48,10.2,425.0,158,128,34,43,16,0,0,false
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,2025-09-17 19:12:25,2025-09-17 19:44:00,31,9.8,332.0,170,136,26,33,39,1,0,false
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,2025-09-17 19:02:53,2025-09-17 19:09:00,6,4.7,48.0,151,124,42,33,13,0,0,false
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,2025-09-17 18:54:30,2025-09-17 18:59:00,4,4.8,45.0,159,134,24,34,39,0,0,false
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,2025-09-17 18:43:25,2025-09-17 18:51:00,7,5.7,81.0,160,137,14,31,45,0,0,false
2025-09-16 22:01:50,2025-09-17 22:00:01,UTC-07:00,2025-09-17 18:30:08,2025-09-17 18:40:00,9,5.7,91.0,160,127,22,39,23,0,0,false
2025-09-15 21:50:47,2025-09-16 22:01:50,UTC-07:00,2025-09-16 19:05:29,2025-09-16 19:38:01,32,9.8,347.0,160,137,24,44,31,0,0,false
2025-09-15 21:50:47,2025-09-16 22:01:50,UTC-07:00,2025-09-16 18:47:54,2025-09-16 18:51:53,3,0.0,5.0,101,76,0,0,0,0,0,false
2025-09-14 20:49:07,2025-09-15 21:50:47,UTC-07:00,2025-09-15 18:30:36,2025-09-15 19:52:51,82,14.4,889.0,162,137,24,40,36,0,0,false
2025-09-12 21:27:30,2025-09-13 21:58:35,UTC-07:00,2025-09-13 18:58:10,2025-09-13 19:29:04,30,13.3,459.0,175,156,2,10,41,47,0,false
2025-09-12 21:27:30,2025-09-13 21:58:35,UTC-07:00,2025-09-13 18:45:00,2025-09-13 18:55:00,10,6.2,112.0,159,139,19,35,46,0,0,false
2025-09-12 21:27:30,2025-09-13 21:58:35,UTC-07:00,2025-09-13 18:23:07,2025-09-13 18:43:00,19,6.1,145.0,150,119,34,46,2,0,0,false
2025-09-11 21:30:28,2025-09-12 21:27:30,UTC-07:00,2025-09-12 18:49:26,2025-09-12 19:52:04,62,12.8,643.0,159,135,21,53,21,0,0,false
2025-09-09 21:55:23,2025-09-10 21:54:24,UTC-07:00,2025-09-10 18:46:35,2025-09-10 19:28:00,41,11.2,425.0,163,134,21,28,43,0,0,false
2025-09-08 22:00:21,2025-09-09 21:55:23,UTC-07:00,2025-09-09 18:46:07,2025-09-09 19:44:14,58,14.6,722.0,174,145,18,21,33,28,0,false
2025-09-07 21:17:48,2025-09-08 22:00:21,UTC-07:00,2025-09-08 18:46:22,2025-09-08 19:43:00,56,13.7,645.0,170,139,18,28,32,17,0,false
2025-09-06 21:20:16,2025-09-07 21:17:48,UTC-07:00,2025-09-07 18:32:35,2025-09-07 19:19:08,46,11.3,479.0,164,135,27,46,25,1,0,false
2025-09-05 20:24:43,2025-09-06 21:20:16,UTC-07:00,2025-09-06 08:19:16,2025-09-06 08:40:11,20,11.4,306.0,180,155,3,14,35,44,4,false
2025-09-05 20:24:43,2025-09-06 21:20:16,UTC-07:00,2025-09-06 07:51:21,2025-09-06 08:17:37,26,7.4,218.0,152,125,35,48,5,0,0,false
2025-09-03 23:29:38,2025-09-04 22:05:10,UTC-07:00,2025-09-04 18:39:59,2025-09-04 19:27:07,47,10.6,441.0,162,130,37,39,21,0,0,false
2025-09-02 21:21:06,2025-09-03 23:29:38,UTC-07:00,2025-09-03 20:01:05,2025-09-03 20:52:41,51,12.7,523.0,176,134,23,31,23,13,0,false
2025-08-30 21:08:16,2025-08-31 21:27:49,UTC-07:00,2025-08-31 19:36:35,2025-08-31 19:42:49,6,5.7,77.0,164,144,16,19,61,4,0,false
2025-08-30 21:08:16,2025-08-31 21:27:49,UTC-07:00,2025-08-31 19:19:29,2025-08-31 19:34:45,15,8.2,195.0,165,146,7,28,56,9,0,false
2025-08-30 21:08:16,2025-08-31 21:27:49,UTC-07:00,2025-08-31 18:43:38,2025-08-31 19:17:37,33,8.7,288.0,167,126,30,38,17,0,0,false
2025-08-28 21:33:09,2025-08-29 20:32:11,UTC-07:00,2025-08-29 18:44:22,2025-08-29 19:15:17,30,12.7,432.0,175,151,5,14,44,36,0,false
2025-08-28 21:33:09,2025-08-29 20:32:11,UTC-07:00,2025-08-29 18:22:01,2025-08-29 18:42:38,20,6.5,164.0,157,123,42,37,10,0,0,false
2025-08-26 22:01:03,2025-08-27 21:43:06,UTC-07:00,2025-08-27 18:36:04,2025-08-27 19:43:33,67,12.5,627.0,156,130,25,50,17,0,0,false
2025-08-25 21:52:32,2025-08-26 22:01:03,UTC-07:00,2025-08-26 18:29:06,2025-08-26 19:34:58,65,13.5,702.0,172,136,28,29,36,4,0,false
2025-08-24 21:15:59,2025-08-25 21:52:32,UTC-07:00,2025-08-25 18:56:32,2025-08-25 19:19:05,22,7.9,218.0,166,131,19,45,25,1,0,false
2025-08-23 21:50:56,2025-08-24 21:15:59,UTC-07:00,2025-08-24 18:04:49,2025-08-24 19:09:21,64,13.9,733.0,168,139,24,30,36,9,0,false
2025-08-23 21:50:56,2025-08-24 21:15:59,UTC-07:00,2025-08-24 07:22:01,2025-08-24 08:23:13,61,10.5,472.0,152,122,43,36,3,0,0,false
2025-08-21 21:27:22,2025-08-22 22:17:53,UTC-07:00,2025-08-22 19:04:35,2025-08-22 20:28:47,84,13.4,775.0,161,129,30,38,25,0,0,false
2025-08-20 21:41:49,2025-08-21 21:27:22,UTC-07:00,2025-08-21 18:41:20,2025-08-21 19:49:56,68,12.2,627.0,165,129,35,39,18,0,0,false
2025-08-19 21:58:46,2025-08-20 21:41:49,UTC-07:00,2025-08-20 19:32:17,2025-08-20 19:37:22,5,5.2,61.0,154,143,10,25,65,0,0,false
2025-08-19 21:58:46,2025-08-20 21:41:49,UTC-07:00,2025-08-20 18:51:41,2025-08-20 19:28:18,36,11.0,400.0,165,138,18,28,47,2,0,false
2025-08-19 21:58:46,2025-08-20 21:41:49,UTC-07:00,2025-08-20 08:40:36,2025-08-20 08:41:44,1,1.4,2.0,127,88,42,0,0,0,0,false
2025-08-18 21:30:45,2025-08-19 21:58:46,UTC-07:00,2025-08-19 18:49:55,2025-08-19 19:54:51,64,12.8,619.0,163,131,28,27,35,0,0,false
2025-08-17 21:19:43,2025-08-18 21:30:45,UTC-07:00,2025-08-18 18:30:54,2025-08-18 19:46:51,75,14.4,844.0,176,139,16,38,40,3,0,false
2025-08-15 22:17:35,2025-08-16 21:57:08,UTC-07:00,2025-08-16 18:29:27,2025-08-16 19:54:53,85,14.0,866.0,162,133,24,46,26,0,0,false
2025-08-14 21:18:33,2025-08-15 22:17:35,UTC-07:00,2025-08-15 18:52:59,2025-08-15 19:50:59,57,9.8,443.0,170,123,65,21,1,1,0,false
2025-08-13 21:20:01,2025-08-14 21:18:33,UTC-07:00,2025-08-14 18:52:08,2025-08-14 19:36:00,43,11.4,466.0,164,136,22,41,35,1,0,false
2025-08-12 21:13:58,2025-08-13 21:20:01,UTC-07:00,2025-08-13 18:33:08,2025-08-13 19:09:15,36,11.1,398.0,169,138,19,29,42,4,0,false
2025-08-11 21:16:57,2025-08-12 21:13:58,UTC-07:00,2025-08-12 18:33:00,2025-08-12 19:15:26,42,9.6,381.0,153,129,26,64,3,0,0,false
2025-08-10 22:29:54,2025-08-11 21:16:57,UTC-07:00,2025-08-11 19:07:01,2025-08-11 19:59:05,52,9.6,432.0,152,126,50,43,0,0,0,false
2025-08-10 22:29:54,2025-08-11 21:16:57,UTC-07:00,2025-08-11 19:00:23,2025-08-11 19:01:59,1,3.6,6.0,121,103,65,0,0,0,0,false
2025-08-09 20:34:52,2025-08-10 22:29:54,UTC-07:00,2025-08-10 18:24:31,2025-08-10 19:29:25,64,12.3,619.0,162,132,30,51,16,1,0,false
2025-08-09 20:34:52,2025-08-10 22:29:54,UTC-07:00,2025-08-10 13:10:00,2025-08-10 13:24:00,14,4.1,26.0,124,87,19,0,0,0,0,false
2025-08-07 22:03:46,2025-08-08 21:44:48,UTC-07:00,2025-08-08 18:39:19,2025-08-08 19:35:48,56,12.8,600.0,168,136,26,36,32,4,0,false
2025-08-06 21:56:43,2025-08-07 22:03:46,UTC-07:00,2025-08-07 18:24:51,2025-08-07 19:24:23,59,13.3,651.0,169,137,19,40,35,3,0,false
2025-08-05 21:11:41,2025-08-06 21:56:43,UTC-07:00,2025-08-06 18:30:36,2025-08-06 19:06:16,35,12.5,451.0,171,145,13,25,39,22,0,false
2025-08-04 21:47:08,2025-08-05 21:11:41,UTC-07:00,2025-08-05 18:57:48,2025-08-05 19:39:00,41,11.8,471.0,161,140,20,32,48,0,0,false
2025-08-04 21:47:08,2025-08-05 21:11:41,UTC-07:00,2025-08-05 18:35:28,2025-08-05 18:47:12,11,5.4,99.0,162,126,45,48,3,0,0,false
2025-08-04 21:47:08,2025-08-05 21:11:41,UTC-07:00,2025-08-05 06:44:41,2025-08-05 07:19:36,34,11.1,392.0,165,139,20,28,48,2,0,false
2025-08-02 21:36:04,2025-08-03 22:29:36,UTC-07:00,2025-08-03 18:53:30,2025-08-03 19:52:35,59,12.8,622.0,165,136,25,46,24,3,0,false
2025-08-01 22:02:02,2025-08-02 21:36:04,UTC-07:00,2025-08-02 19:28:25,2025-08-02 19:33:49,5,5.4,66.0,157,143,15,33,52,0,0,false
2025-08-01 22:02:02,2025-08-02 21:36:04,UTC-07:00,2025-08-02 18:50:17,2025-08-02 19:27:10,36,12.1,461.0,167,145,8,28,59,5,0,false
2025-07-31 21:28:59,2025-08-01 22:02:02,UTC-07:00,2025-08-01 20:15:19,2025-08-01 20:59:35,44,12.5,515.0,164,141,18,28,49,5,0,false
2025-07-30 21:16:56,2025-07-31 21:28:59,UTC-07:00,2025-07-31 18:23:58,2025-07-31 19:07:37,43,13.0,513.0,172,141,23,20,36,18,0,false
2025-07-28 22:18:50,2025-07-29 21:42:23,UTC-07:00,2025-07-29 18:29:01,2025-07-29 19:20:23,51,14.2,652.0,173,145,18,21,33,26,0,false
2025-07-27 21:11:48,2025-07-28 22:18:50,UTC-07:00,2025-07-28 19:11:50,2025-07-28 20:14:12,62,13.4,681.0,171,137,30,29,36,3,0,false
2025-07-25 22:02:44,2025-07-26 22:07:46,UTC-07:00,2025-07-26 18:32:15,2025-07-26 19:29:32,57,10.5,478.0,162,126,51,32,8,0,0,false
2025-07-24 21:45:42,2025-07-25 22:02:44,UTC-07:00,2025-07-25 19:26:54,2025-07-25 19:38:00,11,6.2,120.0,158,137,23,61,16,0,0,false
2025-07-24 21:45:42,2025-07-25 22:02:44,UTC-07:00,2025-07-25 18:47:50,2025-07-25 19:24:11,36,11.5,415.0,168,140,21,32,39,6,0,false
2025-07-23 21:43:40,2025-07-24 21:45:42,UTC-07:00,2025-07-24 19:00:00,2025-07-24 19:52:45,52,11.7,531.0,165,134,35,47,16,0,0,false
2025-07-22 21:48:07,2025-07-23 21:43:40,UTC-07:00,2025-07-23 18:53:27,2025-07-23 19:33:43,40,11.5,447.0,165,138,26,31,41,0,0,false
2025-07-21 21:13:40,2025-07-22 21:48:07,UTC-07:00,2025-07-22 18:52:25,2025-07-22 19:48:01,55,13.9,691.0,167,145,17,22,55,5,0,false
2025-07-20 21:35:08,2025-07-21 21:13:40,UTC-07:00,2025-07-21 19:32:51,2025-07-21 19:41:55,9,6.5,112.0,159,144,8,28,60,0,0,false
2025-07-20 21:35:08,2025-07-21 21:13:40,UTC-07:00,2025-07-21 19:06:30,2025-07-21 19:27:27,20,8.6,238.0,166,140,16,44,35,3,0,false
2025-07-19 21:12:05,2025-07-20 21:35:08,UTC-07:00,2025-07-20 19:11:26,2025-07-20 19:46:32,35,9.9,362.0,162,135,34,36,30,0,0,false
2025-07-19 21:12:05,2025-07-20 21:35:08,UTC-07:00,2025-07-20 18:40:48,2025-07-20 19:07:15,26,7.2,205.0,171,121,32,34,12,1,0,false
2025-07-17 22:20:01,2025-07-18 21:49:33,UTC-07:00,2025-07-18 19:13:49,2025-07-18 19:33:52,20,7.8,212.0,165,137,29,38,32,0,0,false
2025-07-17 22:20:01,2025-07-18 21:49:33,UTC-07:00,2025-07-18 18:41:40,2025-07-18 19:07:35,25,8.1,243.0,163,131,43,30,21,1,0,false
2025-07-16 21:15:57,2025-07-17 22:20:01,UTC-07:00,2025-07-17 20:05:01,2025-07-17 20:35:07,30,9.3,307.0,167,135,39,25,32,2,0,false
2025-07-15 20:40:54,2025-07-16 21:15:57,UTC-07:00,2025-07-16 17:52:22,2025-07-16 18:37:46,45,12.2,497.0,170,138,24,36,29,7,0,false
2025-07-13 21:52:50,2025-07-14 21:22:51,UTC-07:00,2025-07-14 18:51:21,2025-07-14 19:09:06,17,9.5,238.0,174,150,8,24,28,40,0,false
2025-07-13 21:52:50,2025-07-14 21:22:51,UTC-07:00,2025-07-14 18:32:04,2025-07-14 18:49:55,17,8.1,205.0,171,141,14,41,29,15,0,false
2025-07-12 21:09:17,2025-07-13 21:52:50,UTC-07:00,2025-07-13 19:32:11,2025-07-13 19:44:38,12,4.6,60.0,126,110,75,0,0,0,0,false
2025-07-12 21:09:17,2025-07-13 21:52:50,UTC-07:00,2025-07-13 18:40:08,2025-07-13 19:15:17,35,12.5,451.0,168,147,5,27,43,22,0,false
2025-07-11 21:26:44,2025-07-12 21:09:17,UTC-07:00,2025-07-12 17:09:45,2025-07-12 17:31:39,21,4.7,68.0,133,101,41,0,0,0,0,false
2025-07-11 21:26:44,2025-07-12 21:09:17,UTC-07:00,2025-07-12 16:24:27,2025-07-12 16:43:09,18,6.7,159.0,161,126,33,40,16,0,0,false
2025-07-09 21:45:09,2025-07-10 21:44:41,UTC-07:00,2025-07-10 18:38:24,2025-07-10 19:01:34,23,9.9,280.0,165,143,20,15,52,12,0,false
2025-07-09 21:45:09,2025-07-10 21:44:41,UTC-07:00,2025-07-10 18:19:22,2025-07-10 18:35:19,15,6.8,153.0,162,132,30,29,34,1,0,false
2025-07-07 22:38:35,2025-07-08 21:36:07,UTC-07:00,2025-07-08 17:08:06,2025-07-08 17:18:18,10,5.2,88.0,136,127,98,2,0,0,0,false
2025-07-07 22:38:35,2025-07-08 21:36:07,UTC-07:00,2025-07-08 16:42:08,2025-07-08 17:05:14,23,9.7,265.0,174,141,34,12,26,27,0,false
2025-07-06 21:28:40,2025-07-07 22:38:35,UTC-07:00,2025-07-07 18:33:29,2025-07-07 19:25:54,52,13.6,631.0,173,143,23,20,39,17,0,false
2025-07-05 20:56:38,2025-07-06 21:28:40,UTC-07:00,2025-07-06 16:59:34,2025-07-06 17:09:45,10,6.2,118.0,152,141,12,57,31,0,0,false
2025-07-05 20:56:38,2025-07-06 21:28:40,UTC-07:00,2025-07-06 16:25:00,2025-07-06 16:55:00,30,11.5,383.0,171,146,10,23,49,17,0,false
